"","week_canton","ndvi_lag_8","ndvi_lag_7","ndvi_lag_6","ndvi_lag_5","ndvi_lag_4","ndvi_lag_3","ndvi_lag_2","ndvi_lag_1"
"2137","2020-35-214",0.78804920504574,0.576056274247714,0.359464499489725,0.289320993970439,0.280969213402138,0.393365958363934,0.5851,0.668863467757599
"2138","2020-35-206",0.657139734646035,0.698480570451252,0.729233474866638,0.75130281363756,0.773895699944793,0.760206572356566,0.7527,0.713490429742203
"2139","2020-35-209",0.837498563808238,0.801739997703742,0.792682715045455,0.812404519400337,0.825044807568863,0.790965116444583,0.7769,0.731963737070117
"2140","2020-35-207",0.616757690584263,0.640329549725891,0.656500792167964,0.67571764999913,0.697705179625732,0.700971657835089,0.7111,0.636649413380972
"2141","2020-35-208",0.768783927930234,0.754515899883374,0.730052667534723,0.738148657267823,0.727661676834691,0.69558415085741,0.6632,0.699140757171166
"2142","2020-35-216",0.785512273751135,0.839583990300345,0.775523624234379,0.705395177805833,0.651024785241742,0.739351649561147,0.8257,0.842852891903532
"2143","2020-35-210",0.388409081347597,0.0298830693788352,0.424181884056975,0.618437764276062,0.770772120320943,0.808929059764765,0.8836,0.805581240810553
"2144","2020-35-204",0.864519076942387,0.880672604091711,0.876780335974879,0.851817849919583,0.856971577429751,0.866254408972222,0.8752,0.876539534383771
"2145","2020-35-202",0.472656388891247,0.246936739193916,0.297134843257695,0.538355515139106,0.704562558016782,0.633308924030122,0.5592,0.709227748428892
"2146","2020-35-212",0.753515990272758,0.612396239689394,0.455754159645584,0.356072946038088,0.286444412079992,0.325671537330671,0.3588,0.382674215415664
"2147","2020-35-213",0.652778957639103,0.721590768247151,0.74509583476485,0.757214625834611,0.923567896764609,0.753926496048442,0.7078,0.758191522787686
"2148","2020-35-211",0.711457669905116,0.703117903148415,0.70765015016853,0.780460119425165,0.77414261474459,0.667916622746477,0.4287,0.574746141154343
"2149","2020-35-306",0.706697100085542,0.771948930270199,0.775037535762143,0.69408244530472,0.66811777048919,0.698068240915593,0.7826,0.529392962475658
"2150","2020-35-301",0.872042312404708,0.845661454744136,0.840070826614966,0.817131288871883,0.81812565660791,0.796720313381887,0.7949,0.795191040624269
"2151","2020-35-308",0.380620132129375,0.758940271791207,0.887270761647282,0.852431992421526,0.844458743093798,0.825153086734779,0.8044,0.815817915818879
"2152","2020-35-304",0.652705269681206,0.682121094227967,0.708923460193954,0.714870727707231,0.732584645519954,0.733346394770776,0.7474,0.738971085763027
"2153","2020-35-303",0.646627514293412,0.711685551060285,0.641708750148873,0.557198441997975,0.496194316974469,0.555082779652117,0.5993,0.572551222741721
"2154","2020-35-307",0.278411615304292,0.515032981997874,0.497514280012085,0.297894746364046,0.206276238136597,0.304274701843609,0.3937,0.554946267627895
"2155","2020-35-302",0.0805114243573539,0.20352639064119,0.203364628008393,0.0770358350580237,0.546489116238085,0.786015677458356,0.8547,0.853910933765507
"2156","2020-35-305",0.445372310136435,0.413439091183632,0.478634810412085,0.594254510659999,0.684213259675745,0.725166291842464,0.8008,0.757620021517657
"2157","2020-35-507",0.801839848914474,0.800934729781783,0.761224418019343,0.70049140365484,0.694877134011939,0.763828688253742,0.8282,0.786735716947257
"2158","2020-35-504",0.789605105272291,0.71895129783301,0.709566119854034,0.707080504431477,0.711934043194834,0.734462812919565,0.772,0.761818219871616
"2159","2020-35-506",0.896777296050936,0.859177114036221,0.821686062805708,0.778512560878297,0.757105318953743,0.695216119008612,0.6292,0.690047436547851
"2160","2020-35-505",0.633846616065689,0.640106348021296,0.654576280091585,0.679399833189807,0.679367250162965,0.628874831237799,0.5973,0.64898525987121
"2161","2020-35-511",0.820201212097786,0.833186566241727,0.836778228088517,0.830621997972952,0.716340688818299,0.423640912917913,0.1257,0.402739379243249
"2162","2020-35-510",0.748808561334603,0.561409290623432,0.600393591927037,0.76621921971492,0.857681735447306,0.68501086542222,0.5445,0.50298087120352
"2163","2020-35-501",0.407976058391961,0.411307701453069,0.436349414498381,0.482454655593508,0.574855439556838,0.575540927042676,0.5788,0.641377547307209
"2164","2020-35-509",0.835595012693247,0.839709570098112,0.842068590490721,0.827062500775332,0.790222987870383,0.681497413682515,0.6425,0.70864344175971
"2165","2020-35-502",0.798781484440222,0.818066610408519,0.806596148103488,0.806387047401877,0.76419480691149,0.628354995776854,0.4913,0.607464504312995
"2166","2020-35-503",0.827389255894824,0.822889180953876,0.818205831353518,0.817479224818743,0.818538630613547,0.809392105616727,0.8213,0.816540894234114
"2167","2020-35-508",0.76584451412713,0.771460492619013,0.654165317568516,0.16033659715434,0.286621548690858,0.42743704924624,0.5094,0.728614138389488
"2168","2020-35-402",0.856506988384065,0.815930472631275,0.775243097781274,0.765402945528768,0.703843934559858,0.525483089493602,0.3259,0.513405947603929
"2169","2020-35-407",0.557223037012865,0.570619684199762,0.589761733519482,0.598141767457278,0.62402394509587,0.618416466280143,0.6096,0.609707865258188
"2170","2020-35-408",0.428980482629762,0.389318363667173,0.406675219729668,0.440066345854884,0.486324476282223,0.550864808283906,0.6157,0.591643853809973
"2171","2020-35-401",0.327853977250141,0.300673930973376,0.371037568576242,0.516262704988776,0.712591456261985,0.493682669740699,0.3654,0.508377904323018
"2172","2020-35-406",0.798396927821183,0.763119800438272,0.763908338754306,0.74088284757161,0.72973646276305,0.750049635923334,0.7647,0.761355751484645
"2173","2020-35-409",0.468778304456373,0.454042037558154,0.475356316489028,0.443875410699695,0.391295874645115,0.405701173894216,0.4188,0.467588172494543
"2174","2020-35-405",0.80639395034868,0.815919330517464,0.831066508667468,0.820876816925484,0.800520826939125,0.75794608908624,0.7286,0.72941601120822
"2175","2020-35-404",0.878762578884476,0.818672423778818,0.839103998216874,0.836366978532641,0.817724539446496,0.750739868508051,0.6932,0.705646200972269
"2176","2020-35-403",0.738404377033262,0.741552413868439,0.734472244768492,0.691605323274894,0.66792487746158,0.698782072135837,0.7383,0.714842003051857
"2177","2020-35-410",0.841925902019387,0.776083510056381,0.807131380482463,0.811618004833896,0.829132502082087,0.831918988926319,0.8293,0.808539885181376
"2178","2020-35-706",0.781018904708903,0.817516687895421,0.801590394897557,0.821339104006649,0.77977625640282,0.767989138649732,0.7711,0.800182690642961
"2179","2020-35-701",0.486151222885667,0.647591713992616,0.883149889763607,0.859759842327619,0.871535408858023,0.917628792555752,0.9728,0.891781300321567
"2180","2020-35-705",0.542636781142252,0.568715058035797,0.614613409112428,0.66204676966528,0.747997842612006,0.695633384669126,0.6667,0.616782814773674
"2181","2020-35-702",0.697817758878795,0.727701924872137,0.734282128463502,0.740708431815219,0.734225082164671,0.727832678984889,0.7241,0.713222915912726
"2182","2020-35-703",0.866556949064472,0.864778649446436,0.813107196073879,0.83447586887198,0.82861145981552,0.840187259372483,0.8658,0.852175657367145
"2183","2020-35-704",0.648731303623864,0.866903989362273,0.934125738248299,0.926431639746024,0.85037062145544,0.583805013895175,0.3319,0.57922036109893
"2184","2020-35-603",0.862544945259587,0.855832831259934,0.867330182037874,0.86892116074039,0.86977232243853,0.881364730714084,0.9198,0.917766929509162
"2185","2020-35-610",0.848263704720176,0.814931411099862,0.8034372142442,0.845255760960286,0.877213705845537,0.875310826614455,0.8721,0.871766946511791
"2186","2020-35-608",0.477787165395061,0.595434006345453,0.607206053326985,0.506759306809335,0.628252664244221,0.530483986386638,0.6486,0.69231547641305
"2187","2020-35-602",0.531192060792139,0.653143897951935,0.758697805328586,0.767997949499449,0.740021440890094,0.586649191787468,0.4558,0.61767810345113
"2188","2020-35-611",0.738368157034328,0.667000314707078,0.651344536412392,0.674912125080187,0.715073427557403,0.601817069381042,0.4877,0.464808835417767
"2189","2020-35-604",0.661475974694828,0.834975570185291,0.879749485324212,0.815743953154153,0.746748408875974,0.688079397897612,0.6676,0.669566240368303
"2190","2020-35-605",0.836434703118132,0.87399810664072,0.906154401687057,0.896439899395044,0.859663540969037,0.764507103461695,0.7148,0.646264720530913
"2191","2020-35-609",0.748977875142243,0.825710652547743,0.812687500947394,0.765156931936905,0.734278832463354,0.756152262996469,0.8861,0.893652087389251
"2192","2020-35-601",0.881836154775758,0.894403510092017,0.895763274148558,0.893492325704756,0.867499980237971,0.791973280580104,0.6776,0.804380782986896
"2193","2020-35-606",0.569467327467418,0.75955637101782,0.882563161710691,0.888474689736076,0.884073704081632,0.859938707504348,0.8822,0.878006123564947
"2194","2020-35-112",0.876677363214046,0.791773173668976,0.753328932436874,0.791719851396754,0.792217644235522,0.639285730838745,0.721,0.46447565451741
"2195","2020-35-110",0.534089840985939,0.643426241105345,0.683139681687276,0.407906200051419,0.606328330860417,0.62401513163176,0.6482,0.631736305697486
"2196","2020-35-106",0.731675896383251,0.780431694768209,0.828446379879565,0.829739079398036,0.815469395612904,0.755955175105541,0.7299,0.751473218030372
"2197","2020-35-118",0.28895526974185,0.347487653921608,0.522238936810921,0.587449801124782,0.627166264868423,0.440936915789597,0.3553,0.341319055537979
"2198","2020-35-103",0.884967134470736,0.875759640577705,0.859024339754533,0.83858188370624,0.818200767440044,0.798378899527223,0.7763,0.849824275403379
"2199","2020-35-117",0.253920072364953,0.344884615426464,0.380892557771671,0.398736537057565,0.697652021932674,1.01204981766315,0.938,0.677855696233101
"2200","2020-35-102",0.561845756270187,0.613419737353609,0.593927489891479,0.598173064671811,0.516156647307256,0.438688403319164,0.3879,0.427389645123841
"2201","2020-35-108",0.390754247704601,0.602819168807727,0.636575108083213,0.50501783184642,0.350798939859009,0.544545709290323,0.6566,0.530808685744325
"2202","2020-35-120",0.633094445607791,0.750474574898894,0.757229391351155,0.691026884155107,0.60233278015657,0.538501312573186,0.4831,0.550996625700921
"2203","2020-35-115",0.313973632968385,0.466639083168804,0.514277332624446,0.457664128246492,0.462907815296816,0.544274292932471,0.6176,0.557445932415443
"2204","2020-35-107",0.903122266532154,0.902538102503277,0.913562111685221,0.9048497585151,0.893838042985219,0.872045746322299,0.8475,0.850220464309138
"2205","2020-35-114",0.717217260646238,0.669627972941569,0.650093055025529,0.677519028731121,0.702694516947962,0.708546608058291,0.726,0.700219422437192
"2206","2020-35-119",0.661769840537908,0.595849041327266,0.601656153874735,0.646868002907486,0.692655003371972,0.629879421320448,0.5652,0.608356563867009
"2207","2020-35-104",0.840123461894372,0.787194837622241,0.795852412836862,0.698019577390999,0.612600358081283,0.501291293767487,0.493,0.629344652171296
"2208","2020-35-101",0.364328563789773,0.409941548953987,0.453529677859519,0.443735539066439,0.451683908945618,0.508815528965784,0.5188,0.564894348250465
"2209","2020-35-109",0.585717041120348,0.691612448434728,0.702333206944224,0.662544681411761,0.648671430870304,0.670270931632479,0.6938,0.666777920291704
"2210","2020-35-105",0.384870890313013,0.16661308903949,0.159794406074521,0.32902762223223,0.473131695982356,0.38913980695738,0.3527,0.502553870358332
"2211","2020-35-113",0.194067015821028,0.182625287827277,0.185601138539974,0.197145454475819,0.201533308520144,0.195078341373963,0.1869,0.190560045641694
"2212","2020-35-116",0.899472092125266,0.87954873684739,0.792833409267096,0.640650871075169,0.570371117540014,0.42837587184041,0.2139,0.295252681697074
