"","precip_total","precip_min","precip_max","precip_mean","precip_median","week_canton"
"276",23.948386,0,15.185565,3.421198,0,"2023-1-401"
"277",0,0,0,0,0,"2023-1-511"
"278",18.468041,0,13.3137665,2.63829157142857,0,"2023-1-304"
"279",14.610607,0,7.90127,2.08722957142857,0,"2023-1-510"
"280",9.570074,0,9.570074,1.36715342857143,0,"2023-1-303"
"281",9.1269245,0,9.1269245,1.30384635714286,0,"2023-1-120"
"282",0,0,0,0,0,"2023-1-501"
"283",23.985631,0,13.420044,3.42651871428571,0,"2023-1-701"
"284",19.915211,0,10.845463,2.84503014285714,0,"2023-1-214"
"285",27.762012,0,14.737886,3.96600171428571,0,"2023-1-705"
"286",4.285459,0,4.285459,0.612208428571429,0,"2023-1-115"
"287",11.0643313,0,7.0413313,1.58061875714286,0,"2023-1-604"
"288",0,0,0,0,0,"2023-1-107"
"289",12.391041,0,12.391041,1.77014871428571,0,"2023-1-114"
"290",4.9299927,0,4.9299927,0.704284671428571,0,"2023-1-509"
"291",7.2206335,0,7.2206335,1.03151907142857,0,"2023-1-206"
"292",0,0,0,0,0,"2023-1-502"
"293",13.251499,0,13.251499,1.89307128571429,0,"2023-1-307"
"294",0,0,0,0,0,"2023-1-209"
"295",33.20492,0,33.20492,4.74356,0,"2023-1-605"
"296",3.2094703,0,3.2094703,0.458495757142857,0,"2023-1-207"
"297",33.7452696,0,22.280073,4.8207528,0,"2023-1-302"
"298",15.478491,0,15.478491,2.211213,0,"2023-1-609"
"299",28.927081,0,15.69953,4.13244014285714,0,"2023-1-702"
"300",7.5636396,0,7.5636396,1.08051994285714,0,"2023-1-208"
"301",4.1444983,0,4.1444983,0.592071185714286,0,"2023-1-601"
"302",9.367503,0,9.367503,1.33821471428571,0,"2023-1-104"
"303",11.915626,0,11.915626,1.70223228571429,0,"2023-1-119"
"304",30.706202,0,30.706202,4.38660028571429,0,"2023-1-606"
"305",41.7304476,0,18.504396,5.96149251428571,0,"2023-1-216"
