"","tmax_min","tmax_max","tmax_mean","tmax_median","week_canton"
"7151",25.614435,26.520887,26.1184832857143,26.08522,"2023-15-118"
"7152",23.867512,24.876549,24.4659962857143,24.46179,"2023-15-103"
"7153",21.678951,22.662615,22.3181974285714,22.352133,"2023-15-117"
"7154",21.358894,22.53208,22.1262965714286,22.22876,"2023-15-308"
"7155",26.966497,27.731667,27.3740567142857,27.27565,"2023-15-102"
"7156",34.831596,35.198196,35.016781,35.025562,"2023-15-602"
"7157",27.54036,28.188856,27.8589402857143,27.776237,"2023-15-408"
"7158",33.956165,34.610962,34.3487454285714,34.382107,"2023-15-611"
"7159",23.727999,24.631596,24.2267321428571,24.237623,"2023-15-108"
"7160",NA,NA,NA,NA,"2023-15-607"
"7161",28.11758,28.704128,28.4047101428571,28.355183,"2023-15-203"
"7162",34.77495,35.387413,35.0490851428571,35.07546,"2023-15-215"
"7163",30.67643,31.894869,31.3120492857143,31.164858,"2023-15-706"
"7164",22.877695,23.620602,23.2563924285714,23.179644,"2023-15-401"
"7165",34.031208,34.647568,34.341568,34.3443,"2023-15-511"
"7166",24.762127,26.267103,25.7487861428571,25.804659,"2023-15-304"
"7167",33.25354,34.035225,33.6399918571429,33.54249,"2023-15-510"
"7168",24.057575,25.031794,24.6146317142857,24.633999,"2023-15-303"
"7169",24.449593,25.358362,24.9964157142857,25.023365,"2023-15-120"
"7170",35.048077,35.764828,35.3727387142857,35.28129,"2023-15-501"
"7171",24.235415,25.512405,24.9132144285714,24.898579,"2023-15-701"
"7172",34.659107,35.490547,35.0854178571429,35.11237,"2023-15-214"
"7173",29.282063,30.889778,30.2633364285714,30.204033,"2023-15-705"
"7174",25.614435,26.520887,26.1184832857143,26.08522,"2023-15-115"
"7175",31.53582,32.0295,31.7484514285714,31.777466,"2023-15-604"
"7176",28.963547,29.740534,29.2413795714286,29.132832,"2023-15-107"
"7177",25.057642,25.85583,25.4816662857143,25.433601,"2023-15-114"
"7178",32.85471,33.589275,33.3034882857143,33.364388,"2023-15-509"
"7179",27.737957,28.354134,28.061963,28.063484,"2023-15-206"
"7180",35.266346,35.850437,35.5506261428571,35.494064,"2023-15-502"
"7181",22.117407,23.160667,22.6996814285714,22.665644,"2023-15-307"
"7182",34.398823,34.91309,34.6436177142857,34.650284,"2023-15-209"
