"","tmin_min","tmin_max","tmin_mean","tmin_median","week_canton"
"3726",25.067959,27.6553,26.7958107142857,27.100029,"2023-8-501"
"3727",16.610086,18.633753,17.8554814285714,18.243572,"2023-8-701"
"3728",25.527672,28.565914,27.6677814285714,28.002491,"2023-8-214"
"3729",22.57907,24.153725,23.5962891428571,23.922369,"2023-8-705"
"3730",16.132565,18.676434,17.5328335714286,17.477219,"2023-8-115"
"3731",21.18367,23.202377,22.4477582857143,22.690502,"2023-8-604"
"3732",19.025602,21.484383,20.3638018571429,20.27561,"2023-8-107"
"3733",15.539249,18.308758,17.1377144285714,17.051994,"2023-8-114"
"3734",24.269238,25.341011,24.9169682857143,24.935463,"2023-8-509"
"3735",17.047808,20.090933,18.9312181428571,19.222492,"2023-8-206"
"3736",24.039604,25.514484,24.9591552857143,24.981476,"2023-8-502"
"3737",13.245943,15.78727,14.7880640714286,14.805435,"2023-8-307"
"3738",25.575844,27.86538,26.8766754285714,26.933289,"2023-8-209"
"3739",27.064575,29.098839,28.4855165714286,28.577477,"2023-8-605"
"3740",17.883476,20.837393,19.6123264285714,19.887974,"2023-8-207"
"3741",13.202532,15.375652,14.3920325714286,14.562365,"2023-8-302"
"3742",29.124943,30.01612,29.6554351428571,29.830563,"2023-8-609"
"3743",25.689001,27.516357,26.64998,26.662004,"2023-8-702"
"3744",15.451338,18.603577,17.4139568571429,17.565413,"2023-8-208"
"3745",28.193672,29.355507,28.7089512857143,28.83664,"2023-8-601"
"3746",22.329897,24.223963,23.3109621428571,23.384365,"2023-8-104"
"3747",18.846859,20.997423,20.4365615714286,20.680275,"2023-8-119"
"3748",28.269608,30.320393,29.3952698571429,29.396069,"2023-8-606"
"3749",22.706799,25.874685,24.8843578571429,25.144726,"2023-8-216"
"3750",24.369312,27.254572,26.4199477142857,26.580025,"2023-8-210"
"3751",15.539249,18.308758,17.1377144285714,17.051994,"2023-8-406"
"3752",17.040123,19.671824,18.4940148571429,18.355312,"2023-8-101"
"3753",21.166761,23.931623,22.7610058571429,22.986612,"2023-8-204"
"3754",16.538393,19.318117,18.0977501428571,17.925392,"2023-8-409"
"3755",15.576338,18.438913,17.2321411428571,17.058537,"2023-8-405"
"3756",18.920252,21.62011,20.687545,21.10862,"2023-8-202"
"3757",17.256212,19.928707,18.7344982857143,18.585608,"2023-8-109"
"3758",15.003061,17.936583,16.7750545714286,16.72494,"2023-8-404"
"3759",24.445648,25.749733,25.3001948571429,25.308056,"2023-8-503"
"3760",16.538393,19.318117,18.0977501428571,17.925392,"2023-8-403"
"3761",23.820127,26.903292,25.7396818571429,25.96018,"2023-8-410"
"3762",14.997007,18.13424,17.0022622857143,17.287266,"2023-8-212"
"3763",21.723667,24.016512,23.3694687142857,23.478662,"2023-8-703"
"3764",16.380589,19.544994,18.2513667142857,18.144,"2023-8-704"
"3765",20.411282,22.610046,21.6335674285714,21.66141,"2023-8-105"
"3766",16.538393,19.318117,18.0977501428571,17.925392,"2023-8-113"
"3767",21.536272,23.626198,23.0252397142857,23.309282,"2023-8-508"
"3768",16.57267,19.086271,18.032732,18.132069,"2023-8-305"
"3769",24.656986,26.79387,25.8204868571429,25.866926,"2023-8-116"
"3770",27.00272,28.807213,28.2573334285714,28.49577,"2023-8-213"
"3771",13.889984,16.49886,15.4399766428571,15.433611,"2023-8-111"
"3772",16.344547,19.401636,18.3437288571429,18.72814,"2023-8-211"
"3773",21.486408,28.606728,25.3022052857143,25.703274,"2024-8-507"
"3774",19.702883,23.140205,21.262284,20.54515,"2024-8-112"
"3775",16.591707,21.719011,19.2345081428571,19.030594,"2024-8-201"
"3776",15.238628,19.483746,17.2658355714286,16.286745,"2024-8-110"
"3777",12.818527,17.376547,14.8353084285714,14.334784,"2024-8-306"
"3778",15.651934,19.243439,17.3479741428571,16.703203,"2024-8-106"
"3779",18.90677,23.318304,21.031491,20.411053,"2024-8-205"
"3780",21.209766,29.74747,25.7930148571429,26.694778,"2024-8-504"
"3781",14.89225,20.036558,17.5206458571429,17.266985,"2024-8-402"
"3782",17.475605,22.299398,19.9103822857143,19.343147,"2024-8-407"
"3783",19.969877,24.314716,22.4611512857143,22.798923,"2024-8-603"
"3784",24.827717,31.105244,27.9303447142857,28.285332,"2024-8-505"
"3785",15.263638,19.380674,17.1141489285714,16.76892,"2024-8-301"
"3786",21.407001,29.581928,25.77202,26.55167,"2024-8-506"
