"","ndvi","fecha","ID"
"724",0.3837,2021-06-10,210
"725",0.8245,2021-06-26,210
"726",0.8762,2021-07-12,210
"727",0.8752,2021-07-28,210
"728",0.2971,2021-08-13,210
"729",0.8118,2021-08-29,210
"730",0.692,2021-09-14,210
"731",0.8585,2021-09-30,210
"732",0.5536,2021-10-16,210
"733",0.8474,2021-11-01,210
"734",0.7639,2021-11-17,210
"735",0.7306,2021-12-03,210
"736",0.8258,2021-12-19,210
"737",0.8435,2022-01-01,210
"738",0.7826,2022-01-17,210
"739",0.6875,2022-02-02,210
"740",0.6697,2022-02-18,210
"741",0.6496,2022-03-06,210
"742",0.7074,2022-03-22,210
"743",0.6277,2022-04-07,210
"744",0.5785,2022-04-23,210
"745",0.6151,2022-05-09,210
"746",0.7456,2022-05-25,210
"747",0.7874,2022-06-10,210
"748",0.0984,2022-06-26,210
"749",0.6754,2022-07-12,210
"750",0.6965,2022-07-28,210
"751",0.8555,2022-08-13,210
"752",0.7526,2022-08-29,210
"753",0.7798,2022-09-14,210
"754",0.1453,2022-09-30,210
"755",0.632,2022-10-16,210
"756",0.38,2022-11-01,210
"757",0.8517,2022-11-17,210
"758",0.7716,2022-12-03,210
"759",0.8082,2022-12-19,210
"760",0.8062,2020-01-01,204
"761",0.7831,2020-01-17,204
"762",0.7742,2020-02-02,204
"763",0.685,2020-02-18,204
"764",0.7582,2020-03-05,204
"765",0.7025,2020-03-21,204
"766",0.7191,2020-04-06,204
"767",0.788,2020-04-22,204
"768",0.8649,2020-05-08,204
"769",0.5498,2020-05-24,204
"770",0.8385,2020-06-09,204
"771",0.8542,2020-06-25,204
"772",0.8893,2020-07-11,204
"773",0.8498,2020-07-27,204
"774",0.8752,2020-08-12,204
"775",0.8645,2020-08-28,204
"776",0.8722,2020-09-13,204
"777",0.8613,2020-09-29,204
"778",0.7353,2020-10-15,204
"779",0.5718,2020-10-31,204
"780",0.8168,2020-11-16,204
"781",0.8327,2020-12-02,204
"782",0.7733,2020-12-18,204
"783",0.8772,2021-01-01,204
"784",0.8672,2021-01-17,204
"785",0.7927,2021-02-02,204
"786",0.7685,2021-02-18,204
"787",0.692,2021-03-06,204
"788",0.7179,2021-03-22,204
"789",0.8077,2021-04-07,204
"790",0.8569,2021-04-23,204
"791",0.8133,2021-05-09,204
"792",0.8917,2021-05-25,204
"793",0.8137,2021-06-10,204
"794",0.8389,2021-06-26,204
"795",0.9117,2021-07-12,204
"796",0.7504,2021-07-28,204
"797",0.6618,2021-08-13,204
"798",0.8132,2021-08-29,204
"799",0.8054,2021-09-14,204
"800",0.8706,2021-09-30,204
"801",0.679,2021-10-16,204
"802",0.8111,2021-11-01,204
"803",0.8556,2021-11-17,204
"804",0.8664,2021-12-03,204
"805",0.8467,2021-12-19,204
"806",0.7828,2022-01-01,204
"807",0.7459,2022-01-17,204
"808",0.7288,2022-02-02,204
"809",0.7657,2022-02-18,204
"810",0.7432,2022-03-06,204
"811",0.7908,2022-03-22,204
"812",0.835,2022-04-07,204
"813",0.8855,2022-04-23,204
"814",0.881,2022-05-09,204
"815",0.9136,2022-05-25,204
"816",0.8301,2022-06-10,204
"817",0.8297,2022-06-26,204
"818",0.8577,2022-07-12,204
"819",0.8497,2022-07-28,204
"820",0.8488,2022-08-13,204
"821",0.7941,2022-08-29,204
"822",0.8167,2022-09-14,204
"823",0.8269,2022-09-30,204
"824",0.8417,2022-10-16,204
"825",0.6824,2022-11-01,204
