"","lst","fecha","ID"
"348",31.35,2021-08-05,203
"349",31.7500000000001,2021-08-13,203
"350",26.6300000000001,2021-08-21,203
"351",31.99,2021-08-29,203
"352",31.91,2021-09-06,203
"353",30.71,2021-09-14,203
"354",32.55,2021-09-22,203
"355",29.89,2021-09-30,203
"356",28.93,2021-10-08,203
"357",-273.15,2021-10-16,203
"358",29.39,2021-10-24,203
"359",30.1300000000001,2021-11-01,203
"360",28.0700000000001,2021-11-09,203
"361",29.29,2021-11-17,203
"362",29.91,2021-11-25,203
"363",29.47,2021-12-03,203
"364",28.91,2021-12-11,203
"365",30.27,2021-12-19,203
"366",31.01,2021-12-27,203
"367",29.21,2022-01-01,203
"368",31.11,2022-01-09,203
"369",30.89,2022-01-17,203
"370",32.29,2022-01-25,203
"371",31.43,2022-02-02,203
"372",32.0700000000001,2022-02-10,203
"373",32.21,2022-02-18,203
"374",33.37,2022-02-26,203
"375",36.05,2022-03-06,203
"376",36.85,2022-03-14,203
"377",35.79,2022-03-22,203
"378",37.01,2022-03-30,203
"379",33.73,2022-04-07,203
"380",35.1300000000001,2022-04-15,203
"381",32.81,2022-04-23,203
"382",32.41,2022-05-01,203
"383",33.05,2022-05-09,203
"384",32.65,2022-05-17,203
"385",31.81,2022-05-25,203
"386",30.37,2022-06-02,203
"387",-273.15,2022-06-10,203
"388",29.23,2022-06-18,203
"389",-273.15,2022-06-26,203
"390",28.79,2022-07-04,203
"391",29.09,2022-07-12,203
"392",30.89,2022-07-20,203
"393",30.6900000000001,2022-07-28,203
"394",-273.15,2022-08-05,203
"395",30.1900000000001,2022-08-13,203
"396",31.0700000000001,2022-08-21,203
"397",30.85,2022-08-29,203
"398",30.53,2022-09-06,203
"399",-273.15,2022-09-14,203
"400",29.6300000000001,2022-09-22,203
"401",29.89,2022-09-30,203
"402",-273.15,2022-10-08,203
"403",29.6900000000001,2022-10-24,203
"404",30.05,2022-11-01,203
"405",27.03,2022-11-09,203
"406",28.05,2022-11-17,203
"407",27.87,2022-11-25,203
"408",27.73,2022-12-03,203
"409",28.91,2022-12-11,203
"410",28.09,2022-12-19,203
"411",29.77,2022-12-27,203
"412",-273.15,2020-01-01,215
"413",27.93,2020-01-09,215
"414",-273.15,2020-01-17,215
"415",-273.15,2020-01-25,215
"416",30.35,2020-02-02,215
"417",-273.15,2020-02-10,215
"418",30.59,2020-02-18,215
"419",31.05,2020-02-26,215
"420",29.93,2020-03-05,215
"421",28.17,2020-03-13,215
"422",29.73,2020-03-21,215
"423",-273.15,2020-03-29,215
"424",32.45,2020-04-06,215
"425",31.21,2020-04-14,215
"426",-273.15,2020-04-22,215
"427",-273.15,2020-04-30,215
"428",-273.15,2020-05-08,215
"429",32.65,2020-05-16,215
"430",-273.15,2020-05-24,215
"431",-273.15,2020-06-01,215
"432",-273.15,2020-06-09,215
"433",-273.15,2020-06-17,215
"434",26.53,2020-06-25,215
"435",29.49,2020-07-03,215
"436",22.2500000000001,2020-07-11,215
"437",-273.15,2020-07-19,215
"438",-273.15,2020-07-27,215
"439",-273.15,2020-08-04,215
"440",-273.15,2020-08-12,215
"441",31.01,2020-08-20,215
"442",32.05,2020-08-28,215
"443",32.6300000000001,2020-09-05,215
"444",27.67,2020-09-13,215
"445",-273.15,2020-09-21,215
"446",32.03,2020-09-29,215
"447",28.23,2020-10-07,215
"448",32.03,2020-10-15,215
"449",30.67,2020-10-23,215
"450",28.43,2020-10-31,215
"451",28.33,2020-11-08,215
"452",-273.15,2020-11-16,215
"453",-273.15,2020-11-24,215
"454",25.71,2020-12-02,215
"455",28.41,2020-12-10,215
"456",29.51,2020-12-18,215
"457",25.51,2020-12-26,215
"458",26.23,2021-01-01,215
"459",26.89,2021-01-09,215
"460",-273.15,2021-01-17,215
"461",-273.15,2021-01-25,215
"462",26.61,2021-02-02,215
"463",31.05,2021-02-10,215
"464",28.03,2021-02-18,215
"465",28.53,2021-02-26,215
"466",32.31,2021-03-06,215
"467",-273.15,2021-03-14,215
"468",29.73,2021-03-22,215
"469",-273.15,2021-03-30,215
"470",-273.15,2021-04-07,215
"471",-273.15,2021-04-15,215
"472",30.85,2021-04-23,215
"473",34.29,2021-05-01,215
"474",-273.15,2021-05-09,215
"475",33.43,2021-05-17,215
"476",-273.15,2021-05-25,215
"477",-273.15,2021-06-02,215
"478",31.27,2021-06-10,215
"479",26.53,2021-06-18,215
"480",30.27,2021-06-26,215
"481",31.59,2021-07-04,215
"482",-273.15,2021-07-12,215
"483",-273.15,2021-07-20,215
"484",-273.15,2021-07-28,215
"485",-273.15,2021-08-05,215
"486",-273.15,2021-08-13,215
"487",-273.15,2021-08-21,215
"488",32.01,2021-08-29,215
"489",-273.15,2021-09-06,215
"490",31.05,2021-09-14,215
"491",30.2500000000001,2021-09-22,215
"492",-273.15,2021-09-30,215
"493",32.03,2021-10-08,215
"494",31.17,2021-10-16,215
"495",33.85,2021-10-24,215
"496",28.73,2021-11-01,215
"497",-273.15,2021-11-09,215
"498",-273.15,2021-11-17,215
"499",-273.15,2021-11-25,215
"500",-273.15,2021-12-03,215
"501",26.81,2021-12-11,215
"502",-273.15,2021-12-19,215
"503",29.61,2021-12-27,215
"504",-273.15,2022-01-01,215
"505",-273.15,2022-01-09,215
"506",24.43,2022-01-17,215
"507",29.0700000000001,2022-01-25,215
"508",28.47,2022-02-02,215
"509",28.1900000000001,2022-02-10,215
"510",28.79,2022-02-18,215
"511",28.73,2022-02-26,215
"512",31.5700000000001,2022-03-06,215
"513",29.11,2022-03-14,215
"514",31.51,2022-03-22,215
"515",31.35,2022-03-30,215
"516",27.89,2022-04-07,215
"517",-273.15,2022-04-15,215
"518",-273.15,2022-04-23,215
"519",-273.15,2022-05-01,215
"520",-273.15,2022-05-09,215
"521",-273.15,2022-05-17,215
"522",32.2500000000001,2022-05-25,215
"523",-273.15,2022-06-02,215
"524",-273.15,2022-06-10,215
"525",29.21,2022-06-18,215
"526",-273.15,2022-06-26,215
"527",-273.15,2022-07-04,215
"528",28.89,2022-07-12,215
"529",-273.15,2022-07-20,215
"530",-273.15,2022-07-28,215
"531",-273.15,2022-08-05,215
"532",-273.15,2022-08-13,215
"533",26.77,2022-08-21,215
"534",30.35,2022-08-29,215
"535",32.59,2022-09-06,215
"536",30.1300000000001,2022-09-14,215
"537",-273.15,2022-09-22,215
"538",-273.15,2022-09-30,215
"539",-273.15,2022-10-08,215
"540",22.0700000000001,2022-10-24,215
"541",28.23,2022-11-01,215
"542",28.37,2022-11-09,215
"543",-273.15,2022-11-17,215
"544",-273.15,2022-11-25,215
"545",25.05,2022-12-03,215
"546",25.73,2022-12-11,215
"547",-273.15,2022-12-19,215
"548",26.43,2022-12-27,215
"549",-273.15,2020-01-01,214
"550",27.17,2020-01-09,214
"551",-273.15,2020-01-17,214
"552",25.6900000000001,2020-01-25,214
"553",27.83,2020-02-02,214
"554",27.6900000000001,2020-02-10,214
