Tipo de Campaña,Conteo,Distrito,Canton,Dia,Mes,Año,Link
Fumigación,13.373,,Hatillos,9,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Hatillos,10,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Hatillos,11,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Hatillos,12,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,San Sebastián,7,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,San Sebastián,8,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,San Sebastián,9,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,San Sebastián,10,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,San Sebastián,11,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,San Sebastián,12,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Sureste Metropolitana,7,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Sureste Metropolitana,8,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Sureste Metropolitana,9,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Sureste Metropolitana,10,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Sureste Metropolitana,11,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
