"","precip_total","precip_max","precip_min","precip_mean","precip_median","week_canton"
"4757",95.793914,34.83415,0,13.6848448571429,8.708537,"2021-25-608"
"4758",108.1017104,27.363564,0,15.4431014857143,14.901415,"2021-26-608"
"4759",56.5278244,23.260273,1.9859111,8.07540348571429,7.4507074,"2021-27-608"
"4760",58.2476896,20.99245,0,8.32109851428572,10.496225,"2021-28-608"
"4761",122.1768143,38.39311,0,17.4538306142857,12.797704,"2021-29-608"
"4762",88.608497,35.909027,0,12.6583567142857,8.977257,"2021-30-608"
"4763",97.839374,33.580883,0,13.9770534285714,8.395221,"2021-31-608"
"4764",83.3550602,22.662148,0,11.9078657428571,15.108099,"2021-32-608"
"4765",155.97948,29.31593,0,22.2827828571429,29.31593,"2021-33-608"
"4766",136.912274,48.394695,0,19.5588962857143,15.767727,"2021-34-608"
"4767",56.5045134,21.901949,0,8.07207334285714,5.475487,"2021-35-608"
"4768",48.6641085,11.577465,0,6.9520155,10.432637,"2021-36-608"
"4769",149.8910455,46.06346,5.7887325,21.4130065,23.03173,"2021-37-608"
"4770",111.804913,46.06346,7.332465,15.9721304285714,14.414198,"2021-38-608"
"4771",153.684045,43.98722,0,21.9548635714286,14.414198,"2021-39-608"
"4772",96.5518,30.068344,0,13.7931142857143,17.594887,"2021-40-608"
"4773",137.525707,43.575436,11.346447,19.6465295714286,11.346447,"2021-41-608"
"4774",52.833784,14.525146,0,7.54768342857143,4.629173,"2021-42-608"
"4775",34.014466,12.37806,0,4.85920942857143,6.18903,"2021-43-608"
"4776",125.540457,38.021923,0,17.934351,11.474688,"2021-44-608"
"4777",34.424063,22.949375,0,4.91772328571429,0,"2021-45-608"
"4778",27.8482994,10.387294,0,3.97832848571429,0,"2021-46-608"
"4779",89.4370188,46.99475,0,12.7767169714286,7.0737114,"2021-47-608"
"4780",8.400528,4.200264,0,1.20007542857143,0,"2021-48-608"
"4781",11.652141,11.652141,0,1.66459157142857,0,"2021-49-608"
"4782",23.055044,23.055044,0,3.29357771428571,0,"2021-50-608"
"4783",39.06557,39.06557,0,5.58079571428571,0,"2021-51-608"
"4784",0,0,0,0,0,"2021-52-608"
"4785",39.06703,39.06703,0,5.58100428571429,0,"2022-1-608"
"4786",0,0,0,0,0,"2022-2-608"
"4787",0,0,0,0,0,"2022-3-608"
"4788",0,0,0,0,0,"2022-4-608"
"4789",8.610075,8.610075,0,1.23001071428571,0,"2022-5-608"
"4790",0,0,0,0,0,"2022-6-608"
"4791",6.914112,6.914112,0,0.987730285714286,0,"2022-7-608"
"4792",6.222348,6.222348,0,0.888906857142857,0,"2022-8-608"
"4793",14.9209497,10.702173,0,2.13156424285714,0,"2022-9-608"
"4794",0,0,0,0,0,"2022-10-608"
"4795",7.8410469,2.6136823,0,1.12014955714286,0,"2022-11-608"
"4796",5.746335,5.746335,0,0.820905,0,"2022-12-608"
"4797",38.2949116,12.528852,0,5.47070165714286,4.4124026,"2022-13-608"
"4798",85.594237,40.766777,0,12.2277481428571,8.824805,"2022-14-608"
"4799",0,0,0,0,0,"2022-15-608"
"4800",76.489607,35.986496,0,10.9270867142857,8.256057,"2022-16-608"
"4801",163.240924,70.402405,0,23.320132,17.600601,"2022-17-608"
"4802",103.547739,30.139038,0,14.7925341428571,11.848002,"2022-18-608"
"4803",93.116877,30.139038,0,13.302411,8.996834,"2022-19-608"
"4804",79.7962622,23.247292,0,11.3994660285714,11.623646,"2022-20-608"
"4805",71.097336,16.970253,0,10.1567622857143,12.21457,"2022-21-608"
"4806",136.508256,44.831646,0,19.5011794285714,22.415823,"2022-22-608"
"4807",134.07032,56.585068,0,19.1529028571429,11.724713,"2022-23-608"
"4808",124.689667,63.414707,0,17.8128095714286,9.430844,"2022-24-608"
"4809",89.3800356,29.142435,0,12.7685765142857,7.8518662,"2022-25-608"
"4810",86.5689005,16.162302,4.0405755,12.3669857857143,14.571218,"2022-26-608"
"4811",66.5008755,26.7687,0,9.50012507142857,8.9229,"2022-27-608"
"4812",65.049059,17.740652,0,9.29272271428571,11.827102,"2022-28-608"
"4813",106.095033,42.44494,0,15.1564332857143,12.723093,"2022-29-608"
"4814",57.514107,28.757053,0,8.216301,0,"2022-30-608"
"4815",130.106412,49.522285,0,18.5866302857143,11.164597,"2022-31-608"
"4816",81.944234,20.793852,0,11.7063191428571,12.380571,"2022-32-608"
"4817",67.246529,34.65824,0,9.606647,5.198463,"2022-33-608"
"4818",101.180229,30.182117,0,14.4543184285714,15.377644,"2022-34-608"
