,rr,week-canton,clasi_rr,clasi_rr_no_0
11250,0.0,2020-19-301,Bajo,Bajo
11251,0.1512512341322885,2020-20-301,Medio,Bajo
11252,0.0,2020-21-301,Bajo,Bajo
11253,0.0,2020-22-301,Bajo,Bajo
11254,0.0,2020-23-301,Bajo,Bajo
11255,0.0,2020-24-301,Bajo,Bajo
11256,0.0733445625406483,2020-25-301,Medio,Bajo
11257,0.0,2020-26-301,Bajo,Bajo
11258,0.0,2020-27-301,Bajo,Bajo
11259,0.0,2020-28-301,Bajo,Bajo
11260,0.0,2020-29-301,Bajo,Bajo
11261,0.0,2020-30-301,Bajo,Bajo
11262,0.0,2020-31-301,Bajo,Bajo
11263,0.0,2020-32-301,Bajo,Bajo
11264,0.0,2020-33-301,Bajo,Bajo
11265,0.0,2020-34-301,Bajo,Bajo
11266,0.0,2020-35-301,Bajo,Bajo
11267,0.0,2020-36-301,Bajo,Bajo
11268,0.0,2020-37-301,Bajo,Bajo
11269,0.0,2020-38-301,Bajo,Bajo
11270,0.0,2020-39-301,Bajo,Bajo
11271,0.2902368199736608,2020-40-301,Medio,Bajo
11272,0.0,2020-41-301,Bajo,Bajo
11273,0.0,2020-42-301,Bajo,Bajo
11274,0.0,2020-43-301,Bajo,Bajo
11275,0.0,2020-44-301,Bajo,Bajo
11276,0.9406416523482288,2020-45-301,Alto,Medio
11277,0.0,2020-46-301,Bajo,Bajo
11278,0.0,2020-47-301,Bajo,Bajo
11279,0.0,2020-48-301,Bajo,Bajo
11280,0.0,2020-49-301,Bajo,Bajo
11281,0.0,2020-50-301,Bajo,Bajo
11282,0.0,2020-51-301,Bajo,Bajo
11283,0.0,2020-52-301,Bajo,Bajo
11284,0.0,2021-1-301,Bajo,Bajo
11285,0.0,2021-2-301,Bajo,Bajo
11286,0.0,2021-3-301,Bajo,Bajo
11287,0.0,2021-4-301,Bajo,Bajo
11288,0.0,2021-5-301,Bajo,Bajo
11289,0.0,2021-6-301,Bajo,Bajo
11290,0.0,2021-7-301,Bajo,Bajo
11291,0.0,2021-8-301,Bajo,Bajo
11292,0.0,2021-9-301,Bajo,Bajo
11293,0.0,2021-10-301,Bajo,Bajo
11294,0.0,2021-11-301,Bajo,Bajo
11295,0.0,2021-12-301,Bajo,Bajo
11296,0.0,2021-13-301,Bajo,Bajo
11297,0.0,2021-14-301,Bajo,Bajo
11298,0.0,2021-15-301,Bajo,Bajo
11299,0.0,2021-16-301,Bajo,Bajo
11300,0.0,2021-17-301,Bajo,Bajo
11301,0.0,2021-18-301,Bajo,Bajo
11302,0.0,2021-19-301,Bajo,Bajo
11303,0.0,2021-20-301,Bajo,Bajo
11304,0.0,2021-21-301,Bajo,Bajo
11305,0.0,2021-22-301,Bajo,Bajo
11306,0.0,2021-23-301,Bajo,Bajo
11307,0.0,2021-24-301,Bajo,Bajo
11308,0.0,2021-25-301,Bajo,Bajo
11309,0.0,2021-26-301,Bajo,Bajo
11310,0.0,2021-27-301,Bajo,Bajo
11311,0.0,2021-28-301,Bajo,Bajo
11312,0.0,2021-29-301,Bajo,Bajo
11313,0.0,2021-30-301,Bajo,Bajo
11314,0.1916221420989887,2021-31-301,Medio,Bajo
11315,0.2399074281432118,2021-32-301,Medio,Bajo
11316,0.0,2021-33-301,Bajo,Bajo
11317,0.0,2021-34-301,Bajo,Bajo
11318,0.0,2021-35-301,Bajo,Bajo
11319,0.0,2021-36-301,Bajo,Bajo
11320,0.0,2021-37-301,Bajo,Bajo
11321,0.0,2021-38-301,Bajo,Bajo
11322,0.0,2021-39-301,Bajo,Bajo
11323,0.0,2021-40-301,Bajo,Bajo
11324,0.0,2021-41-301,Bajo,Bajo
11325,0.0,2021-42-301,Bajo,Bajo
11326,0.2262454816603013,2021-43-301,Medio,Bajo
11327,0.0,2021-44-301,Bajo,Bajo
11328,0.0,2021-45-301,Bajo,Bajo
11329,0.0,2021-46-301,Bajo,Bajo
11330,0.0,2021-47-301,Bajo,Bajo
11331,0.0,2021-48-301,Bajo,Bajo
11332,0.0,2021-49-301,Bajo,Bajo
11333,0.0,2021-50-301,Bajo,Bajo
11334,0.408608260216346,2021-51-301,Medio,Bajo
11335,0.0,2021-52-301,Bajo,Bajo
11336,0.0,2022-1-301,Bajo,Bajo
11337,0.0,2022-2-301,Bajo,Bajo
11338,0.0,2022-3-301,Bajo,Bajo
11339,0.0,2022-4-301,Bajo,Bajo
11340,0.0,2022-5-301,Bajo,Bajo
11341,0.0,2022-6-301,Bajo,Bajo
11342,0.0,2022-7-301,Bajo,Bajo
11343,0.0,2022-8-301,Bajo,Bajo
11344,0.0,2022-9-301,Bajo,Bajo
11345,0.0,2022-10-301,Bajo,Bajo
11346,0.0,2022-11-301,Bajo,Bajo
11347,0.0,2022-12-301,Bajo,Bajo
11348,0.6426236872813134,2022-13-301,Alto,Medio
11349,0.0,2022-14-301,Bajo,Bajo
11350,0.0,2022-15-301,Bajo,Bajo
11351,0.0,2022-16-301,Bajo,Bajo
11352,0.0,2022-17-301,Bajo,Bajo
11353,0.0,2022-18-301,Bajo,Bajo
11354,0.0,2022-19-301,Bajo,Bajo
11355,0.0,2022-20-301,Bajo,Bajo
11356,0.0,2022-21-301,Bajo,Bajo
11357,0.1993992478459317,2022-22-301,Medio,Bajo
11358,0.0,2022-23-301,Bajo,Bajo
11359,0.0,2022-24-301,Bajo,Bajo
11360,0.0,2022-25-301,Bajo,Bajo
11361,0.0,2022-26-301,Bajo,Bajo
11362,0.3736865621920776,2022-27-301,Medio,Bajo
11363,0.0,2022-28-301,Bajo,Bajo
11364,0.2334657250120465,2022-29-301,Medio,Bajo
11365,0.0,2022-30-301,Bajo,Bajo
11366,0.0,2022-31-301,Bajo,Bajo
11367,0.0,2022-32-301,Bajo,Bajo
11368,0.0,2022-33-301,Bajo,Bajo
11369,0.1079690678139379,2022-34-301,Medio,Bajo
11370,0.3637936863026803,2022-35-301,Medio,Bajo
11371,0.1413928442932737,2022-36-301,Medio,Bajo
11372,0.2974756810868954,2022-37-301,Medio,Bajo
11373,0.1934615944767032,2022-38-301,Medio,Bajo
11374,0.1592730171258199,2022-39-301,Medio,Bajo
11375,0.1576893733443896,2022-40-301,Medio,Bajo
11376,0.0,2022-41-301,Bajo,Bajo
11377,0.0,2022-42-301,Bajo,Bajo
11378,0.0,2022-43-301,Bajo,Bajo
11379,0.0,2022-44-301,Bajo,Bajo
11380,0.0,2022-45-301,Bajo,Bajo
11381,0.0,2022-46-301,Bajo,Bajo
11382,0.2976470721410236,2022-47-301,Medio,Bajo
