"","week_canton","pob"
"160","2020-2-702",149615.150098361
"161","2020-2-703",56917.4065136612
"162","2020-2-704",43177.9626994536
"163","2020-2-705",44271.0299180328
"164","2020-2-706",55495.259568306
"165","2020-3-101",348223.702789617
"166","2020-3-102",69520.4485819672
"167","2020-3-103",239416.140562842
"168","2020-3-104",38341.1845928962
"169","2020-3-105",17862.3999863388
"170","2020-3-106",61775.4464480874
"171","2020-3-107",28352.6900163934
"172","2020-3-108",137421.702937158
"173","2020-3-109",59602.1079972678
"174","2020-3-110",93155.8816748634
"175","2020-3-111",69988.3106612022
"176","2020-3-112",21735.6939617486
"177","2020-3-113",83862.0610601093
"178","2020-3-114",61186.3300136612
"179","2020-3-115",61386.9260464481
"180","2020-3-116",7148.90706284153
"181","2020-3-117",7765.86242076503
"182","2020-3-118",78216.2768770492
"183","2020-3-119",135451.854538251
"184","2020-3-120",13150.896079235
"185","2020-3-201",314735.795081967
"186","2020-3-202",89522.8071065574
"187","2020-3-203",78169.2134125683
"188","2020-3-204",7343.19632513661
"189","2020-3-205",29639.1014945355
"190","2020-3-206",48919.3974289617
"191","2020-3-207",41137.212579235
"192","2020-3-208",34045.5939153005
"193","2020-3-209",24008.6562213115
"194","2020-3-210",201563.452991803
"195","2020-3-211",14455.6612896175
"196","2020-3-212",22232.7391202186
"197","2020-3-213",54704.3431530055
"198","2020-3-214",34360.2965655738
"199","2020-3-215",19252.3255382514
"200","2020-3-216",16721.3715054645
"201","2020-3-301",161066.709286885
"202","2020-3-302",60621.9691010929
"203","2020-3-303",111505.934409836
"204","2020-3-304",15993.3883661202
"205","2020-3-305",70184.3556939891
"206","2020-3-306",15075.8941830601
"207","2020-3-307",48238.4237595628
"208","2020-3-308",44597.9735710383
"209","2020-3-401",141791.227005464
"210","2020-3-402",46648.3780300546
"211","2020-3-403",48760.2175737705
"212","2020-3-404",43194.8992896175
"213","2020-3-405",54546.777636612
"214","2020-3-406",22817.0471038251
"215","2020-3-407",25879.632147541
"216","2020-3-408",21290.4212568306
"217","2020-3-409",30165.6074480874
"218","2020-3-410",87069.3534098361
"219","2020-3-501",76658.6833087432
"220","2020-3-502",57332.3412185792
"221","2020-3-503",68775.2269234973
"222","2020-3-504",24345.2138169399
"223","2020-3-505",46398.1851857924
"224","2020-3-506",31695.1969125683
"225","2020-3-507",19909.0031857923
"226","2020-3-508",24586.6181857923
"227","2020-3-509",11482.6918224044
"228","2020-3-510",26267.628442623
"229","2020-3-511",7102.03577595628
"230","2020-3-601",138109.890016393
"231","2020-3-602",33604.2260601093
"232","2020-3-603",52802.8679863388
"233","2020-3-604",14603.5943333333
"234","2020-3-605",29567.6468989071
"235","2020-3-606",33243.5521065574
"236","2020-3-607",32048.4922213115
"237","2020-3-608",36392.1793743169
