time,latitude,longitude,temp,lon,lat,canton
2023-04-30,9.974998,-84.525,31.654728,-84.54740616639346,9.959797729182378,San Mateo
2023-04-30,10.224998,-84.575005,31.415667,-84.59660922490704,10.224966903257403,San Ramón
2023-04-30,10.174995,-84.325005,27.112791,-84.30108294694202,10.189870859089414,Sarchí
2023-04-30,10.875,-85.12501,37.189754,-85.14929032901345,10.881829250960983,Upala
2023-04-30,10.224998,-84.425,28.713833,-84.41388281744693,10.219271182572214,Zarcero
2023-04-30,9.924995,-83.825005,23.506117,-83.80482900012846,9.937477148472626,Alvarado
2023-04-30,9.824997,-83.925,25.52612,-83.92103610970754,9.81526471202071,Cartago
2023-04-30,9.724998,-83.925,22.692375,-83.93017952707274,9.747254138356316,El Guarco
2023-04-30,9.824997,-83.725006,27.371864,-83.70269913194875,9.806806678266504,Jiménez
2023-04-30,9.924995,-83.975006,25.470964,-83.98733533492697,9.911269900823918,La Unión
2023-04-30,10.024994,-83.87501,24.44092,-83.8658656849301,10.007701022907192,Oreamuno
2023-04-30,9.724998,-83.775,24.31479,-83.76539909508006,9.716482965281095,Paraíso
2023-04-30,9.824997,-83.525,28.61039,-83.54923186390529,9.821753878695407,Turrialba
2023-04-30,10.224998,-85.025,36.602596,-85.00507406230518,10.247590578694894,Abangares
2023-04-30,10.524994,-85.275,37.7714,-85.26053471901255,10.530698411290938,Bagaces
2023-04-30,10.424995,-85.12501,37.635727,-85.10354690831619,10.442132027355036,Cañas
2023-04-30,10.474998,-85.62501,36.37705,-85.60235341415768,10.459993674459833,Carrillo
2023-04-30,9.974998,-85.425,34.48739,-85.41399827888002,9.985961054258116,Hojancha
2023-04-30,11.024994,-85.575005,35.638897,-85.58048364631352,11.001918707120607,La Cruz
2023-04-30,10.674995,-85.475006,37.05679,-85.49015638368135,10.69686590205969,Liberia
2023-04-30,9.924995,-85.275,33.39011,-85.28064207579611,9.913577748286544,Nandayure
2023-04-30,10.125,-85.425,35.834244,-85.44743537832264,10.115189136843854,Nicoya
2023-04-30,10.224998,-85.675,34.69755,-85.68528480031924,10.24291223825872,Santa Cruz
