time,latitude,longitude,precip,lon,lat,canton
2022-02-28,9.874996,-85.025,0.0,-85.01892152741308,9.888766714315658,Puntarenas
2022-02-28,9.424999,-84.075005,0.0,-84.05242924259188,9.423077340414803,Quepos
2022-02-28,9.724998,-84.225006,0.0,-84.23162108507668,9.740737410360428,Acosta
2022-02-28,9.874996,-84.12501,0.0,-84.11460850542299,9.887681366724795,Alajuelita
2022-02-28,9.724998,-84.12501,0.0,-84.13761285590842,9.744351750690964,Aserrí
2022-02-28,9.924999,-84.025,0.0,-84.02785671787663,9.917482168270135,Curridabat
2022-02-28,9.824997,-84.025,0.0,-84.04553397233065,9.814630640261406,Desamparados
2022-02-28,9.574997,-83.925,0.0,-83.91304446085607,9.587092645438156,Dota
2022-02-28,9.924999,-84.12501,0.0,-84.14524023173462,9.91469488144212,Escazú
2022-02-28,9.974998,-83.975006,0.0,-83.98834528940289,9.95838251003187,Goicoechea
2022-02-28,9.674999,-84.075005,0.0,-84.07062696348378,9.695439582127158,León Cortés Castro
2022-02-28,9.924999,-84.025,0.0,-84.01878559436618,9.9419800059365,Montes de Oca
2022-02-28,9.874996,-84.275,0.0,-84.26984430379824,9.88418428272862,Mora
2022-02-28,10.024998,-84.025,0.0,-84.01843525219141,10.010064082628729,Moravia
2022-02-28,9.374996,-83.675,0.0,-83.67390963488972,9.36086194419378,Pérez Zeledón
2022-02-28,9.724998,-84.37501,0.0,-84.38704233213403,9.741989185554084,Puriscal
2022-02-28,9.924999,-84.12501,0.0,-84.10245542109253,9.935177837472262,San José
2022-02-28,9.924999,-84.175,0.0,-84.18894746368338,9.920169089467764,Santa Ana
2022-02-28,9.574997,-84.025,0.0,-84.04495838770744,9.587116594181053,Tarrazú
2022-02-28,9.974998,-84.075005,0.0,-84.0810127580874,9.958730374263864,Tibás
2022-02-28,9.774998,-84.525,0.0,-84.50670033339516,9.760046749941088,Turrubares
2022-02-28,10.024998,-83.925,0.0,-83.94830678312826,10.043598443255233,Vázquez de Coronado
2022-03-01,10.074997,-84.225006,0.0,-84.22566877914281,10.094073304417597,Alajuela
2022-03-01,9.974998,-84.425,0.0,-84.40437004985235,9.975320150514287,Atenas
2022-03-01,10.074997,-84.275,0.0,-84.29950416495883,10.089459637910869,Grecia
2022-03-01,10.674999,-84.825005,0.0,-84.84143356730945,10.69488492854414,Guatuso
2022-03-01,10.874996,-84.675,0.0,-84.6661043232443,10.884146802625349,Los Chiles
2022-03-01,10.124996,-84.37501,0.0,-84.38645752749451,10.114132482628802,Naranjo
2022-03-01,9.874996,-84.575005,0.0,-84.57791631529766,9.896385871063297,Orotina
2022-03-01,10.024998,-84.425,0.0,-84.43716729050736,10.044256575820071,Palmares
2022-03-01,10.124996,-84.225006,0.0,-84.24093191782451,10.105849467498444,Poás
2022-03-01,10.424999,-84.225006,0.0,-84.20941413187313,10.408548272165216,Río Cuarto
2022-03-01,10.574997,-84.425,0.0,-84.43580131240458,10.589071687753965,San Carlos
2022-03-01,9.974998,-84.525,0.0,-84.54740616639346,9.959797729182378,San Mateo
2022-03-01,10.224998,-84.575005,0.0,-84.59660922490704,10.224966903257403,San Ramón
2022-03-01,10.174999,-84.325005,0.0,-84.30108294694202,10.189870859089414,Sarchí
2022-03-01,10.874996,-85.12501,0.0,-85.14929032901345,10.881829250960983,Upala
2022-03-01,10.224998,-84.425,0.0,-84.41388281744693,10.219271182572214,Zarcero
2022-03-01,9.924999,-83.825005,0.0,-83.80482900012846,9.937477148472626,Alvarado
