"","week_canton","ndvi_lag_8","ndvi_lag_7","ndvi_lag_6","ndvi_lag_5","ndvi_lag_4","ndvi_lag_3","ndvi_lag_2","ndvi_lag_1"
"24447","2025-50-103",0.787792039366886,0.849121913800708,0.771536892348535,0.802426470346913,0.852233428621358,0.857650647739803,0.8549034166441,0.8515
"24448","2025-50-117",0.835150038947646,0.951791215270895,0.931348003544475,0.899060639358536,0.910886081451007,0.909872754166508,0.871446682882868,0.887
"24449","2025-50-102",0.408952370618246,0.436010513147559,0.473554951335466,0.443072697837061,0.405729919857659,0.382101887311699,0.408410999532749,0.4825
"24450","2025-50-108",0.702838087824133,0.589349805086776,0.734640109371769,0.764991191410143,0.752285422268057,0.740013536809879,0.749443178255441,0.8106
"24451","2025-50-120",0.848189882274171,0.859104969629835,0.878076210187707,0.826835054053784,0.844238910842116,0.864319090071156,0.866698891913789,0.8609
"24452","2025-50-115",0.434116511476209,0.464938372756288,0.547139821989,0.56538112314636,0.545852476271403,0.514586868033707,0.463293573489702,0.4537
"24453","2025-50-107",0.887610216689632,0.930944512574731,0.905122859016106,0.91577622540824,0.887683275892763,0.889110033699781,0.876994187721096,0.8651
"24454","2025-50-114",0.779342150771315,0.723273942853256,0.685582242579371,0.682335096534907,0.703260044793094,0.720781664766347,0.733085048149601,0.7406
"24455","2025-50-119",0.492190416461537,0.53240913593104,0.683851548413926,0.715129879942823,0.715186103990757,0.73976606970498,0.743530021228176,0.7496
"24456","2025-50-104",0.776117384493919,0.665743789540793,0.70926734105683,0.739709451585705,0.753436410750714,0.759678963339408,0.769837352504443,0.7731
"24457","2025-50-101",0.381245274897342,0.465809004144951,0.627769641106503,0.577544502982319,0.317952765345931,0.308097403233411,0.467228326554018,0.6745
"24458","2025-50-109",0.640806196982359,0.657307573592593,0.698755588302095,0.701403662875697,0.734840130380316,0.751528873048986,0.696186282844085,0.6392
"24459","2025-50-105",0.761007284094513,0.641256610251217,0.53547440435695,0.580552898312117,0.628644745499508,0.625947150717745,0.726801963771302,0.8361
"24460","2025-50-113",0.168701063450722,0.170160157913984,0.195012925084586,0.196426672324248,0.172554833950732,0.178328690488725,0.204866971813245,0.2362
"24461","2025-50-116",0.91101066265759,0.888963734349334,0.868347084960056,0.870068545701137,0.919432808283481,0.940417101251099,0.960760281129238,0.9274
"24462","2025-50-111",0.30034437974103,0.509292646098394,0.782632108194867,0.715229581149608,0.482739060635088,0.418307616057328,0.638238099900063,0.8845
"24463","2025-51-201",0.779584558132867,0.737885320198627,1.00551971482675,0.920538811234758,0.888615797248347,0.890732069453993,0.8899,0.882528902834433
"24464","2025-51-205",0.705481829432401,0.716538076237476,0.723652060226177,0.719974856228355,0.724680407170751,0.706836706058615,0.6869,0.716364756502395
"24465","2025-51-203",0.720950533144607,0.700892692094394,0.705234232876233,0.737583371398814,0.760450932863295,0.756282479134768,0.7528,0.772736547292571
"24466","2025-51-215",0.81758797015295,0.730570467026747,0.651438613453497,0.585409406891807,0.64296253129318,0.721966724586539,0.8308,0.755915340091399
"24467","2025-51-214",0.344715333494257,0.151865567481817,0.266698065137347,0.498792975914154,0.635955533236638,0.609201360733038,0.6062,0.674374522845978
"24468","2025-51-206",0.602574324091057,0.630364989175804,0.759845842377183,0.826737562594459,0.807605097187877,0.758475267148063,0.7222,0.737955789490544
"24469","2025-51-209",0.784433459471993,0.771652165877118,0.778302835874247,0.769641878139062,0.728293839733705,0.629795507944271,0.5748,0.580167356306402
"24470","2025-51-207",0.673379708519932,0.683814887817588,0.697635238261849,0.692889079512187,0.690083580386924,0.676077362704386,0.6578,0.690323019095732
