"","week_canton","precip_total_lag_8","precip_total_lag_7","precip_total_lag_6","precip_total_lag_5","precip_total_lag_4","precip_total_lag_3","precip_total_lag_2","precip_total_lag_1","precip_max_lag_8","precip_max_lag_7","precip_max_lag_6","precip_max_lag_5","precip_max_lag_4","precip_max_lag_3","precip_max_lag_2","precip_max_lag_1","precip_mean_lag_8","precip_mean_lag_7","precip_mean_lag_6","precip_mean_lag_5","precip_mean_lag_4","precip_mean_lag_3","precip_mean_lag_2","precip_mean_lag_1","precip_median_lag_8","precip_median_lag_7","precip_median_lag_6","precip_median_lag_5","precip_median_lag_4","precip_median_lag_3","precip_median_lag_2","precip_median_lag_1","precip_min_lag_8","precip_min_lag_7","precip_min_lag_6","precip_min_lag_5","precip_min_lag_4","precip_min_lag_3","precip_min_lag_2","precip_min_lag_1"
"15924","2020-35-605",67.6610499,93.9183923,68.61217,97.491859,81.901421,85.4579488,115.3188474,57.6202192,31.46385,35.645775,29.124233,36.941948,35.270233,34.79342,60.81775,16.02658,9.66586427142857,13.4169131857143,9.80173857142857,13.9274084285714,11.700203,12.2082784,16.4741210571429,8.23145988571429,6.8217583,11.881925,8.094276,10.262885,8.718611,6.9586844,6.8217583,10.1124325,0,0,0,0,0,0,5.478778,0
"15925","2020-35-207",88.012483,103.11314,73.0590136,130.296612,43.1978002,112.324831,55.9243788,73.2841449,22.958776,53.91756,23.09252,65.904305,12.420218,48.02379,20.410362,53.91756,12.5732118571429,14.7304485714286,10.4370019428571,18.6138017142857,6.17111431428571,16.0464044285714,7.98919697142857,10.4691635571429,11.479388,9.839116,7.6840467,11.668863,6.210109,11.568898,2.954033,6.4555283,0,0,0,0,0,0,1.0464141,0
"15926","2020-35-302",112.40791,115.151113,51.880078,165.49156,52.119999,144.051853,55.725859,152.3051755,31.324034,40.118866,30.308535,71.77408,18.473957,48.4243,14.736585,40.118866,16.0582728571429,16.450159,7.41143971428571,23.6416514285714,7.44571414285714,20.5788361428571,7.960837,21.7578822142857,12.4399605,12.505374,0,14.45761,8.136354,22.991102,6.0874367,23.961433,0,0,0,0,0,0,2.2608626,0
"15927","2020-35-609",71.746094,68.3634912,87.4323551,144.934087,52.8665894,98.6620432,71.134316,117.1472331,25.445011,32.406334,28.885115,51.03878,22.658825,32.185066,25.445011,32.406334,10.249442,9.76621302857143,12.4903364428571,20.7048695714286,7.55236991428571,14.0945776,10.1620451428571,16.7353190142857,11.575271,4.4946446,7.2212787,15.048417,5.664706,12.874027,4.7338843,7.9712925,0,0,0,0,0,0,1.4644287,3.9856462
"15928","2020-35-702",52.8595822,72.765538,33.7019205,132.5435533,17.0062454,80.891143,71.8276434,63.768359,15.235057,37.86133,22.467947,63.132034,11.337497,46.22351,36.92985,37.86133,7.55136888571429,10.3950768571429,4.81456007142857,18.9347933285714,2.42946362857143,11.5558775714286,10.2610919142857,9.10976557142857,7.6175284,6.9808416,0,10.522005,0,0,5.158731,0,0,0,0,0,0,0,0.8868211,0
"15929","2020-35-208",56.914959,79.117946,79.774677,129.72575,43.4058896,142.055172,81.04187087,46.604815,37.943306,31.647179,34.339832,63.76201,12.956393,44.69369,41.763992,27.962889,8.13070842857143,11.3025637142857,11.3963824285714,18.53225,6.20084137142857,20.293596,11.5774101242857,6.65783071428571,0,15.823589,9.421643,15.940502,5.992825,17.395157,2.586478,0,0,0,0,0,0,0,0.65835947,0
"15930","2020-35-601",79.660235,78.925098,79.1506106,145.42673,39.0933355,91.5367264,51.0980038,84.1279736,40.78091,32.43014,17.488043,63.70254,9.526967,44.97179,13.593637,32.43014,11.3800335714286,11.275014,11.3072300857143,20.7752471428571,5.58476221428571,13.0766752,7.29971482857143,12.0182819428571,0,5.046648,11.658695,0,6.6798005,7.4952984,3.8542924,14.45077,0,0,5.8293476,0,0,0,1.2979757,0
"15931","2020-35-104",73.923235,87.964562,105.244872,150.322085,46.8894142,133.291828,87.0911199,108.110422,23.313225,44.99882,35.974224,56.424725,20.402931,45.164505,39.05142,44.99882,10.5604621428571,12.566366,15.0349817142857,21.4745835714286,6.69848774285714,19.0416897142857,12.4415885571429,15.444346,7.771075,7.160957,14.09666,14.106181,3.3108106,9.032902,4.328295,6.037594,0,0,0,0,0,0,1.4543463,0
"15932","2020-35-119",48.99195,87.630206,57.7986452,122.27639,84.17515,93.125027,127.5558969,78.559282,32.6613,41.6738,15.312186,34.693596,36.34801,35.53014,47.909786,41.6738,6.99885,12.5186008571429,8.25694931428571,17.4680557142857,12.0250214285714,13.3035752857143,18.2222709857143,11.2227545714286,0,6.565201,7.0810766,8.814866,12.116004,13.182212,13.310245,0,0,0,0,0,0,0,0,0
"15933","2020-35-606",81.528762,50.830266,109.867158,192.113102,62.554399,127.7895359,101.6456128,192.594418,28.992914,30.49816,30.890354,81.33008,25.436907,46.201664,47.08587,53.782734,11.646966,7.26146657142857,15.6953082857143,27.4447288571429,8.93634271428571,18.2556479857143,14.5208018285714,27.5134882857143,0,0,12.596556,16.266016,8.478969,7.7002773,7.1790853,11.717331,0,0,0,0,0,0,0,3.905777
"15934","2020-35-216",82.716291,46.875537,66.292001,112.316829,40.8941351,85.959334,69.8344071,180.17021,24.249846,23.437769,24.209106,41.73991,12.860025,33.06128,48.49969,70.7135,11.816613,6.69650528571429,9.47028585714286,16.0452612857143,5.8420193,12.2799048571429,9.97634387142857,25.7386014285714,11.693289,0,12.104553,13.913304,6.4300127,13.224514,4.211215,19.371605,0,0,0,0,0,0,0,0
"15935","2020-35-210",68.312943,36.964359,47.708825,114.453584,39.4505256,81.232212,71.0127454,146.5306323,18.504982,12.321453,17.081873,37.964947,11.698709,27.471405,51.19199,57.498768,9.75899185714286,5.28062271428571,6.81554642857143,16.350512,5.63578937142857,11.6046017142857,10.1446779142857,20.9329474714286,12.797997,0,8.540936,25.309963,5.8493543,9.157135,4.4250565,13.514184,0,0,0,0,0,0,0,0
"15936","2020-35-406",56.382226,37.366814,40.3033894,99.2587089,28.3472608,94.6992673,30.03249363,93.575176,17.133154,18.683407,13.624683,42.68963,9.3971,30.735521,11.057959,72.182556,8.05460371428572,5.33811628571429,5.75762705714286,14.1798155571429,4.04960868571429,13.5284667571429,4.29035623285714,13.3678822857143,11.057959,0,6.8123417,7.4724603,3.5629027,10.467008,1.744441,0,0,0,0,0,0,0,0.42312533,0
"15937","2020-35-101",50.662285,30.7758373,41.9749152,78.6961085,31.1435587,81.7387495,28.60222954,90.1387756,13.8696,15.387918,14.520335,32.153862,10.192257,26.954054,13.8696,74.40089,7.23746928571429,4.39654818571429,5.99641645714286,11.2423012142857,4.44907981428571,11.6769642142857,4.08603279142857,12.8769679428571,6.9348,0,7.2601676,7.194194,3.9637933,13.477027,1.4378418,0,0,0,0,0,0,0,0.43823758,0
"15938","2020-35-204",111.648674,129.419489,96.083139,144.373975,46.184493,125.805302,77.0809465,87.7542789,38.977726,67.7685,26.014387,72.36738,11.614803,56.46607,33.69322,67.7685,15.9498105714286,18.4884984285714,13.7261627142857,20.6248535714286,6.59778471428571,17.972186,11.0115637857143,12.5363255571429,12.992576,8.807284,11.013591,17.73106,7.651629,9.411012,4.952776,6.6619263,0,0,11.013591,0,0,0,1.9353738,0
"15939","2020-35-409",46.016068,43.13427,39.2695928,79.464656,31.7274512,75.0261516,30.30156626,19.59421,15.223726,21.567135,9.100183,30.123842,11.55344,32.03845,15.568616,9.797105,6.573724,6.16203857142857,5.60994182857143,11.3520937142857,4.53249302857143,10.7180216571429,4.32879518,2.79917285714286,7.784308,0,7.0230756,5.8430057,3.5993228,10.949254,1.3912077,0,0,0,0,0,0,0,0.3821675,0
"15940","2020-35-405",49.225124,50.52655,31.9604338,96.8331674,32.3188012,102.250733,37.76889285,24.855895,17.09247,25.263275,10.78808,41.68941,11.79321,49.304363,15.040184,14.913537,7.03216057142857,7.21807857142857,4.56577625714286,13.8333096285714,4.6169716,14.6072475714286,5.39555612142857,3.55084214285714,7.520092,0,5.2930884,8.337882,3.6572466,12.386224,1.6372627,0,0,0,0,0,0,0,0.4127859,0
"15941","2020-35-202",94.18533,121.894647,89.836296,115.130048,38.81717,99.60023,58.3570433,101.4984318,25.449572,69.83295,22.385313,51.269966,10.272252,41.500095,25.449572,34.916473,13.4550471428571,17.413521,12.8337565714286,16.4471497142857,5.54531,14.2286042857143,8.33672047142857,14.4997759714286,14.002743,17.353899,11.1926565,12.590116,6.56827,8.300019,4.9989357,11.8745575,0,0,7.510945,0,0,0,1.8082563,0
"15942","2020-35-109",59.0039205,37.614228,51.360048,89.9708195,33.8961191,90.046264,32.02418471,103.5790386,18.543756,18.807114,17.714664,33.941437,10.079167,37.045963,14.610939,86.06423,8.4291315,5.37346114285714,7.33714971428571,12.8529742142857,4.84230272857143,12.863752,4.57488353,14.7970055142857,9.271878,0,8.857332,11.313812,5.0395837,14.818385,1.8263876,0,0,0,0,0,0,0,0.57291406,0
