"","week_canton","nino34ssta_lag_8","nino34ssta_lag_7","nino34ssta_lag_6","nino34ssta_lag_5","nino34ssta_lag_4","nino34ssta_lag_3","nino34ssta_lag_2","nino34ssta_lag_1"
"75","2020-9-610",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"76","2020-9-611",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"77","2020-9-701",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"78","2020-9-702",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"79","2020-9-703",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"80","2020-9-704",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"81","2020-9-705",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"82","2020-9-706",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"83","2020-10-101",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"84","2020-10-102",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"85","2020-10-103",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"86","2020-10-104",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"87","2020-10-105",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"88","2020-10-106",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"89","2020-10-107",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"90","2020-10-108",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"91","2020-10-109",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"92","2020-10-110",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"93","2020-10-111",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"94","2020-10-112",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"95","2020-10-113",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"96","2020-10-114",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"97","2020-10-115",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"98","2020-10-116",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"99","2020-10-117",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"100","2020-10-118",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"101","2020-10-119",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"102","2020-10-120",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"103","2020-10-201",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"104","2020-10-202",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"105","2020-10-203",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"106","2020-10-204",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
