"","keyword","value","week_canton"
"244","aedes aegypti",0,"2020-16-204"
"245","aedes aegypti",0,"2020-16-205"
"246","aedes aegypti",0,"2020-16-206"
"247","aedes aegypti",0,"2020-16-207"
"248","aedes aegypti",0,"2020-16-208"
"249","aedes aegypti",0,"2020-16-209"
"250","aedes aegypti",0,"2020-16-210"
"251","aedes aegypti",0,"2020-16-211"
"252","aedes aegypti",0,"2020-16-212"
"253","aedes aegypti",0,"2020-16-213"
"254","aedes aegypti",0,"2020-16-214"
"255","aedes aegypti",0,"2020-16-215"
"256","aedes aegypti",0,"2020-16-216"
"257","aedes aegypti",0,"2020-17-201"
"258","aedes aegypti",0,"2020-17-202"
"259","aedes aegypti",0,"2020-17-203"
"260","aedes aegypti",0,"2020-17-204"
"261","aedes aegypti",0,"2020-17-205"
"262","aedes aegypti",0,"2020-17-206"
"263","aedes aegypti",0,"2020-17-207"
"264","aedes aegypti",0,"2020-17-208"
"265","aedes aegypti",0,"2020-17-209"
"266","aedes aegypti",0,"2020-17-210"
"267","aedes aegypti",0,"2020-17-211"
"268","aedes aegypti",0,"2020-17-212"
"269","aedes aegypti",0,"2020-17-213"
"270","aedes aegypti",0,"2020-17-214"
"271","aedes aegypti",0,"2020-17-215"
"272","aedes aegypti",0,"2020-17-216"
"273","aedes aegypti",0,"2020-18-201"
"274","aedes aegypti",0,"2020-18-202"
"275","aedes aegypti",0,"2020-18-203"
"276","aedes aegypti",0,"2020-18-204"
"277","aedes aegypti",0,"2020-18-205"
"278","aedes aegypti",0,"2020-18-206"
"279","aedes aegypti",0,"2020-18-207"
"280","aedes aegypti",0,"2020-18-208"
"281","aedes aegypti",0,"2020-18-209"
"282","aedes aegypti",0,"2020-18-210"
"283","aedes aegypti",0,"2020-18-211"
"284","aedes aegypti",0,"2020-18-212"
"285","aedes aegypti",0,"2020-18-213"
"286","aedes aegypti",0,"2020-18-214"
"287","aedes aegypti",0,"2020-18-215"
"288","aedes aegypti",0,"2020-18-216"
"289","aedes aegypti",0,"2020-19-201"
"290","aedes aegypti",0,"2020-19-202"
"291","aedes aegypti",0,"2020-19-203"
"292","aedes aegypti",0,"2020-19-204"
"293","aedes aegypti",0,"2020-19-205"
"294","aedes aegypti",0,"2020-19-206"
"295","aedes aegypti",0,"2020-19-207"
"296","aedes aegypti",0,"2020-19-208"
"297","aedes aegypti",0,"2020-19-209"
"298","aedes aegypti",0,"2020-19-210"
"299","aedes aegypti",0,"2020-19-211"
"300","aedes aegypti",0,"2020-19-212"
"301","aedes aegypti",0,"2020-19-213"
"302","aedes aegypti",0,"2020-19-214"
"303","aedes aegypti",0,"2020-19-215"
"304","aedes aegypti",0,"2020-19-216"
"305","aedes aegypti",0,"2020-20-201"
"306","aedes aegypti",0,"2020-20-202"
"307","aedes aegypti",0,"2020-20-203"
"308","aedes aegypti",0,"2020-20-204"
"309","aedes aegypti",0,"2020-20-205"
"310","aedes aegypti",0,"2020-20-206"
"311","aedes aegypti",0,"2020-20-207"
"312","aedes aegypti",0,"2020-20-208"
"313","aedes aegypti",0,"2020-20-209"
"314","aedes aegypti",0,"2020-20-210"
"315","aedes aegypti",0,"2020-20-211"
"316","aedes aegypti",0,"2020-20-212"
"317","aedes aegypti",0,"2020-20-213"
"318","aedes aegypti",0,"2020-20-214"
"319","aedes aegypti",0,"2020-20-215"
"320","aedes aegypti",0,"2020-20-216"
"321","aedes aegypti",0,"2020-21-201"
"322","aedes aegypti",0,"2020-21-202"
"323","aedes aegypti",0,"2020-21-203"
"324","aedes aegypti",0,"2020-21-204"
"325","aedes aegypti",0,"2020-21-205"
"326","aedes aegypti",0,"2020-21-206"
"327","aedes aegypti",0,"2020-21-207"
"328","aedes aegypti",0,"2020-21-208"
"329","aedes aegypti",0,"2020-21-209"
"330","aedes aegypti",0,"2020-21-210"
"331","aedes aegypti",0,"2020-21-211"
"332","aedes aegypti",0,"2020-21-212"
"333","aedes aegypti",0,"2020-21-213"
"334","aedes aegypti",0,"2020-21-214"
"335","aedes aegypti",0,"2020-21-215"
"336","aedes aegypti",0,"2020-21-216"
"337","aedes aegypti",0,"2020-22-201"
"338","aedes aegypti",0,"2020-22-202"
"339","aedes aegypti",0,"2020-22-203"
"340","aedes aegypti",0,"2020-22-204"
"341","aedes aegypti",0,"2020-22-205"
"342","aedes aegypti",0,"2020-22-206"
"343","aedes aegypti",0,"2020-22-207"
"344","aedes aegypti",0,"2020-22-208"
"345","aedes aegypti",0,"2020-22-209"
"346","aedes aegypti",0,"2020-22-210"
"347","aedes aegypti",0,"2020-22-211"
"348","aedes aegypti",0,"2020-22-212"
"349","aedes aegypti",0,"2020-22-213"
