casos,week-canton,relative_risk,classi_rr,urb,tmax_min,tmax_max,tmax_mean,tmax_median,tmin_min,tmin_max,tmin_mean,tmin_median,precip_total,precip_min,precip_max,precip_mean,precip_median
0,2023-23-202,0.0,Bajo,2,25.31514,31.55021,28.2144898928571,27.762648,25.31514,31.55021,28.2144898928571,27.762648,701.0081249,0.0,32.220135,12.5180022303571,11.427715
0,2023-23-109,0.0,Bajo,1,26.424534,27.579597,27.1037195714286,27.209858,26.424534,27.579597,27.1037195714286,27.209858,82.2696688,5.4498606,26.576738,11.7528098285714,10.899721
0,2023-23-503,0.0,Bajo,0,,,,,,,,,,,,,
20,2023-23-410,7.513891724369115,Alto,0,25.871138,34.87287,32.1196206386555,32.770283,25.871138,34.87287,32.1196206386555,32.770283,1334.3273631,0.0,47.34958,11.2128349840336,8.165782
0,2023-23-212,0.0,Bajo,2,23.527184,25.793383,24.803975,25.056135,23.527184,25.793383,24.803975,25.056135,69.434681,6.188095,13.286614,9.91924014285714,12.37619
21,2023-23-703,12.60336753292693,Alto,0,28.99432,34.375706,31.535252375,31.4436825,28.99432,34.375706,31.535252375,31.4436825,448.8389547,0.0,21.586922,8.01498133392857,7.82632635
10,2023-23-704,7.706326964860851,Alto,0,19.347706,35.03228,26.2436825093168,25.86714,19.347706,35.03228,26.2436825093168,25.86714,1296.9190478,0.0,31.444448,8.05539781242236,7.1233306
0,2023-23-105,0.0,Bajo,2,24.514109,30.903816,28.0242738571429,28.292981,24.514109,30.903816,28.0242738571429,28.292981,411.548001,0.0,50.913616,14.6981428928571,10.230119
0,2023-23-508,0.0,Bajo,0,26.289568,32.444912,30.0981181632653,30.09221,26.289568,32.444912,30.0981181632653,30.09221,551.8851598,0.0,29.085808,11.262962444898,8.787663
0,2023-23-305,0.0,Bajo,2,19.322685,29.347757,25.2632528351648,25.849438,19.322685,29.347757,25.2632528351648,25.849438,1119.8906714,0.0,42.78221,12.3064908945055,10.495079
4,2023-23-116,18.883271442156232,Alto,0,30.74531,34.808777,32.4717065357143,32.2721875,30.74531,34.808777,32.4717065357143,32.2721875,237.6244332,0.0,28.712605,8.4865869,5.4271826
0,2023-23-213,0.0,Bajo,2,27.76637,35.504814,31.9451303979592,32.3839475,27.76637,35.504814,31.9451303979592,32.3839475,1024.5243153,0.0,30.655796,10.4543297479592,8.635818
0,2023-23-111,0.0,Bajo,1,22.291624,26.791391,24.5247094285714,24.410165,22.291624,26.791391,24.5247094285714,24.410165,189.1150365,5.9239216,31.714375,13.5082168928571,11.847843
0,2023-23-211,0.0,Bajo,2,25.036573,27.224426,26.2890508571429,26.538696,25.036573,27.224426,26.2890508571429,26.538696,76.86574,5.684156,15.696246,10.98082,11.368312
0,2024-23-507,0.0,Bajo,0,30.467579,34.593285,32.7391011190476,32.861415,30.467579,34.593285,32.7391011190476,32.861415,567.0183405,0.0,37.52866,13.5004366785714,12.64689425
0,2024-23-112,0.0,Bajo,2,28.263428,32.77155,29.9787856666667,29.348186,28.263428,32.77155,29.9787856666667,29.348186,204.8545901,0.0,29.296753,9.75498048095238,10.365522
46,2024-23-201,1.1502062139847151,Alto,1,22.79717,30.400316,27.2070676428571,27.948511,22.79717,30.400316,27.2070676428571,27.948511,399.9882425,0.0,43.987957,14.285294375,12.61989
5,2024-23-110,0.4214931610676761,Medio,1,24.536554,26.22333,25.3003492857143,25.26788,24.536554,26.22333,25.3003492857143,25.26788,105.568381,0.0,31.721163,15.0811972857143,8.425211
0,2024-23-306,0.0,Bajo,2,25.348146,27.178421,26.061964,25.699965,25.348146,27.178421,26.061964,25.699965,81.3341413,0.0,19.042006,11.6191630428571,11.243042
3,2024-23-106,0.3875973779236405,Medio,1,26.407375,28.14019,27.1708338571429,27.175213,26.407375,28.14019,27.1708338571429,27.175213,93.908858,0.0,28.901518,13.4155511428571,13.539683
43,2024-23-205,11.48983149407412,Alto,1,28.08079,29.115417,28.4379864285714,28.32885,28.08079,29.115417,28.4379864285714,28.32885,106.567173,0.0,22.95229,15.2238818571429,16.760134
1,2024-23-504,0.321441422675129,Medio,0,29.290907,34.658653,32.3500965285714,32.53674,29.290907,34.658653,32.3500965285714,32.53674,1217.8122942,0.0,47.074387,17.3973184885714,19.13301
2,2024-23-402,0.3365220586521762,Medio,1,24.856445,26.330154,25.4961118571429,25.227308,24.856445,26.330154,25.4961118571429,25.227308,127.2525333,0.0,51.440315,18.1789333285714,12.523015
60,2024-23-603,8.939289369657034,Alto,0,24.07079,32.965103,28.653681924812,29.846048,24.07079,32.965103,28.653681924812,29.846048,2300.664226,0.0,47.63166,17.2982272631579,15.059366
3,2024-23-505,0.4996401366829636,Alto,2,,,,,,,,,,,,,
1,2024-23-301,0.0496470579514222,Medio,1,24.564377,26.904299,25.5894461428571,25.366193,24.564377,26.904299,25.5894461428571,25.366193,136.5208435,0.0,19.126007,9.75148882142857,8.8817185
10,2024-23-506,2.4973740064559955,Alto,0,31.815186,34.562855,33.2067173714286,33.127026,31.815186,34.562855,33.2067173714286,33.127026,584.7706267,0.0,62.339546,16.7077321914286,14.456599
33,2024-23-610,5.037041668255379,Alto,2,29.787336,34.727783,32.1758010285714,32.391335,29.787336,34.727783,32.1758010285714,32.391335,671.509374,0.0,48.606056,19.1859821142857,18.251997
0,2024-23-608,0.0,Bajo,2,22.741154,30.932823,26.8573308392857,26.7111315,22.741154,30.932823,26.8573308392857,26.7111315,1196.9887925,9.482633,40.1507,21.3747998660714,19.8333455
0,2024-23-117,0.0,Bajo,0,20.967342,30.052258,24.5499141904762,23.05027,20.967342,30.052258,24.5499141904762,23.05027,296.7949196,5.6695476,29.386284,14.1330914095238,12.313364
0,2024-23-308,0.0,Bajo,1,22.224266,26.325912,24.1023137857143,24.2831605,22.224266,26.325912,24.1023137857143,24.2831605,173.7094045,0.0,28.847387,12.4078146071429,14.134191
2,2024-23-602,0.4645671096372433,Medio,2,31.864794,34.794037,32.9951052142857,33.031679,31.864794,34.794037,32.9951052142857,33.031679,171.0628551,0.0,29.061779,12.2187753642857,10.841028
6,2024-23-611,1.756107819557229,Alto,0,32.19759,34.547134,33.3990836190476,33.495438,32.19759,34.547134,33.3990836190476,33.495438,220.2376422,0.0,27.138687,10.4875067714286,9.4935465
5,2024-23-607,1.258903673822091,Alto,0,31.04014,35.03,32.8373992857143,32.761353,31.04014,35.03,32.8373992857143,32.761353,2020.584022,0.0,48.650955,19.243657352381,18.317184
15,2024-23-203,1.515912559566415,Alto,1,27.81961,28.991762,28.3062265714286,28.170132,27.81961,28.991762,28.3062265714286,28.170132,98.1783952,3.4502301,27.289757,14.0254850285714,17.25115
0,2024-23-215,0.0,Bajo,0,29.271587,34.132114,32.2037349387755,32.871822,29.271587,34.132114,32.2037349387755,32.871822,855.837344,0.0,54.846592,17.466068244898,18.282198
5,2024-23-706,0.7024434576270251,Alto,2,24.230816,33.88049,30.8556186857143,31.981981,24.230816,33.88049,30.8556186857143,31.981981,345.476232,0.0,37.619125,9.87074948571429,10.663998
2,2024-23-401,0.1115072152421398,Medio,1,23.827896,26.638775,25.0395730714286,25.1063795,23.827896,26.638775,25.0395730714286,25.1063795,204.917469,0.0,30.930906,14.6369620714286,14.9604845
0,2024-23-511,0.0,Bajo,2,29.936478,32.857235,31.4011525714286,31.162144,29.936478,32.857235,31.4011525714286,31.162144,84.8078045,0.0,29.946783,12.1154006428571,13.2958765
12,2024-23-304,6.093464229822217,Alto,2,27.237772,29.222988,28.0989928571429,27.79776,27.237772,29.222988,28.0989928571429,27.79776,147.725374,7.306975,29.2279,21.1036248571429,24.885208
4,2024-23-510,1.1824381244219628,Alto,0,,,,,,,,,1711.2888824,0.0,58.948895,18.8053723340659,16.186785
2,2024-23-303,0.1425090491743792,Medio,1,25.60061,27.50257,26.4296347142857,26.31974,25.60061,27.50257,26.4296347142857,26.31974,91.8087268,3.8722742,26.542992,13.1155324,13.271496
0,2024-23-120,0.0,Bajo,2,24.94577,26.64697,25.619617,25.682682,24.94577,26.64697,25.619617,25.682682,92.9769575,4.0363865,18.88316,13.2824225,16.145546
6,2024-23-501,0.608188145926859,Alto,2,29.950607,35.174,32.6186793,32.4850065,29.950607,35.174,32.6186793,32.4850065,1075.1213078,0.0,39.10599,15.3588758257143,14.7168235
0,2024-23-701,0.0,Bajo,0,22.477097,33.862083,29.0633343333333,29.915142,22.477097,33.862083,29.0633343333333,29.915142,687.8169674,0.0,27.767878,6.5506377847619,5.7982144
1,2024-23-214,0.2233272074060655,Medio,0,32.30649,34.337936,33.3939613506493,33.59595,32.30649,34.337936,33.3939613506493,33.59595,1063.4103967,0.0,35.0614,13.8105246324675,12.674152
1,2024-23-705,0.1793051852380834,Medio,0,27.533247,34.17448,30.8795338571429,31.1008255,27.533247,34.17448,30.8795338571429,31.1008255,316.5545887,0.0,21.642794,7.53701401666667,5.7829089
17,2024-23-604,9.25042544444339,Alto,2,28.666588,32.68366,30.5528048571429,30.6679625,28.666588,32.68366,30.5528048571429,30.6679625,187.3631794,0.0,31.096735,13.3830842428571,14.51414125
13,2024-23-107,3.66145631598778,Alto,2,28.424393,29.669159,28.9623637142857,28.988401,28.424393,29.669159,28.9623637142857,28.988401,92.707629,4.0266995,28.233667,13.243947,12.080098
