"","group","busquedas","week_canton"
"215","mobility_finance",0,"2020-1-602"
"216","mobility_finance",0,"2020-1-603"
"217","mobility_finance",0,"2020-1-604"
"218","mobility_finance",0,"2020-1-605"
"219","mobility_finance",0,"2020-1-606"
"220","mobility_finance",0,"2020-1-607"
"221","mobility_finance",0,"2020-1-608"
"222","mobility_finance",0,"2020-1-609"
"223","mobility_finance",0,"2020-1-610"
"224","mobility_finance",0,"2020-1-611"
"225","mobility_finance",0,"2020-1-701"
"226","mobility_finance",0,"2020-1-702"
"227","mobility_finance",0,"2020-1-703"
"228","mobility_finance",0,"2020-1-704"
"229","mobility_finance",0,"2020-1-705"
"230","mobility_finance",0,"2020-1-706"
"231","water",0,"2020-1-101"
"232","water",0,"2020-1-102"
"233","water",0,"2020-1-103"
"234","water",0,"2020-1-104"
"235","water",0,"2020-1-105"
"236","water",0,"2020-1-106"
"237","water",0,"2020-1-107"
"238","water",0,"2020-1-108"
"239","water",0,"2020-1-109"
"240","water",0,"2020-1-110"
"241","water",0,"2020-1-111"
"242","water",0,"2020-1-112"
"243","water",0,"2020-1-113"
"244","water",0,"2020-1-114"
"245","water",0,"2020-1-115"
"246","water",0,"2020-1-116"
"247","water",0,"2020-1-117"
"248","water",0,"2020-1-118"
"249","water",0,"2020-1-119"
"250","water",0,"2020-1-120"
"251","water",0,"2020-1-201"
"252","water",0,"2020-1-202"
"253","water",0,"2020-1-203"
"254","water",0,"2020-1-204"
"255","water",0,"2020-1-205"
"256","water",0,"2020-1-206"
"257","water",0,"2020-1-207"
"258","water",0,"2020-1-208"
"259","water",0,"2020-1-209"
"260","water",0,"2020-1-210"
"261","water",0,"2020-1-211"
"262","water",0,"2020-1-212"
"263","water",0,"2020-1-213"
"264","water",0,"2020-1-214"
"265","water",0,"2020-1-215"
"266","water",0,"2020-1-216"
"267","water",0,"2020-1-301"
"268","water",0,"2020-1-302"
"269","water",0,"2020-1-303"
"270","water",0,"2020-1-304"
"271","water",0,"2020-1-305"
"272","water",0,"2020-1-306"
"273","water",0,"2020-1-307"
"274","water",0,"2020-1-308"
"275","water",0,"2020-1-401"
"276","water",0,"2020-1-402"
"277","water",0,"2020-1-403"
"278","water",0,"2020-1-404"
"279","water",0,"2020-1-405"
"280","water",0,"2020-1-406"
"281","water",0,"2020-1-407"
"282","water",0,"2020-1-408"
"283","water",0,"2020-1-409"
"284","water",0,"2020-1-410"
"285","water",0,"2020-1-501"
"286","water",0,"2020-1-502"
"287","water",0,"2020-1-503"
"288","water",0,"2020-1-504"
"289","water",0,"2020-1-505"
"290","water",0,"2020-1-506"
"291","water",0,"2020-1-507"
"292","water",0,"2020-1-508"
"293","water",0,"2020-1-509"
"294","water",0,"2020-1-510"
"295","water",0,"2020-1-511"
"296","water",0,"2020-1-601"
"297","water",0,"2020-1-602"
"298","water",0,"2020-1-603"
"299","water",0,"2020-1-604"
"300","water",0,"2020-1-605"
"301","water",0,"2020-1-606"
"302","water",0,"2020-1-607"
"303","water",0,"2020-1-608"
"304","water",0,"2020-1-609"
"305","water",0,"2020-1-610"
"306","water",0,"2020-1-611"
"307","water",0,"2020-1-701"
"308","water",0,"2020-1-702"
"309","water",0,"2020-1-703"
"310","water",0,"2020-1-704"
"311","water",0,"2020-1-705"
"312","water",0,"2020-1-706"
"313","dengue_spread",0,"2020-2-101"
"314","dengue_spread",0,"2020-2-102"
"315","dengue_spread",0,"2020-2-103"
"316","dengue_spread",0,"2020-2-104"
"317","dengue_spread",0,"2020-2-105"
"318","dengue_spread",0,"2020-2-106"
"319","dengue_spread",0,"2020-2-107"
"320","dengue_spread",0,"2020-2-108"
"321","dengue_spread",0,"2020-2-109"
"322","dengue_spread",0,"2020-2-110"
"323","dengue_spread",0,"2020-2-111"
"324","dengue_spread",0,"2020-2-112"
"325","dengue_spread",0,"2020-2-113"
"326","dengue_spread",0,"2020-2-114"
"327","dengue_spread",0,"2020-2-115"
"328","dengue_spread",0,"2020-2-116"
"329","dengue_spread",0,"2020-2-117"
"330","dengue_spread",0,"2020-2-118"
"331","dengue_spread",0,"2020-2-119"
"332","dengue_spread",0,"2020-2-120"
"333","dengue_spread",0,"2020-2-201"
"334","dengue_spread",0,"2020-2-202"
"335","dengue_spread",0,"2020-2-203"
"336","dengue_spread",0,"2020-2-204"
"337","dengue_spread",0,"2020-2-205"
"338","dengue_spread",0,"2020-2-206"
"339","dengue_spread",0,"2020-2-207"
"340","dengue_spread",0,"2020-2-208"
"341","dengue_spread",0,"2020-2-209"
"342","dengue_spread",0,"2020-2-210"
"343","dengue_spread",0,"2020-2-211"
"344","dengue_spread",0,"2020-2-212"
"345","dengue_spread",0,"2020-2-213"
"346","dengue_spread",0,"2020-2-214"
"347","dengue_spread",0,"2020-2-215"
"348","dengue_spread",0,"2020-2-216"
"349","dengue_spread",0,"2020-2-401"
"350","dengue_spread",0,"2020-2-402"
"351","dengue_spread",0,"2020-2-403"
"352","dengue_spread",0,"2020-2-404"
"353","dengue_spread",0,"2020-2-405"
"354","dengue_spread",0,"2020-2-406"
"355","dengue_spread",0,"2020-2-407"
"356","dengue_spread",0,"2020-2-408"
"357","dengue_spread",0,"2020-2-409"
"358","dengue_spread",0,"2020-2-410"
"359","dengue_spread",0,"2020-2-501"
"360","dengue_spread",0,"2020-2-502"
"361","dengue_spread",0,"2020-2-503"
"362","dengue_spread",0,"2020-2-504"
"363","dengue_spread",0,"2020-2-505"
"364","dengue_spread",0,"2020-2-506"
"365","dengue_spread",0,"2020-2-507"
"366","dengue_spread",0,"2020-2-508"
"367","dengue_spread",0,"2020-2-509"
"368","dengue_spread",0,"2020-2-510"
"369","dengue_spread",0,"2020-2-511"
"370","dengue_spread",0,"2020-2-601"
"371","dengue_spread",0,"2020-2-602"
"372","dengue_spread",0,"2020-2-603"
"373","dengue_spread",0,"2020-2-604"
"374","dengue_spread",0,"2020-2-605"
"375","dengue_spread",0,"2020-2-606"
"376","dengue_spread",0,"2020-2-607"
"377","dengue_spread",0,"2020-2-608"
"378","dengue_spread",0,"2020-2-609"
"379","dengue_spread",0,"2020-2-610"
"380","dengue_spread",0,"2020-2-611"
"381","dengue_spread",0,"2020-2-701"
"382","dengue_spread",0,"2020-2-702"
"383","dengue_spread",0,"2020-2-703"
"384","dengue_spread",0,"2020-2-704"
"385","dengue_spread",0,"2020-2-705"
"386","dengue_spread",0,"2020-2-706"
"387","employment",48.6,"2020-2-101"
"388","employment",48.6,"2020-2-102"
"389","employment",48.6,"2020-2-103"
"390","employment",48.6,"2020-2-104"
"391","employment",48.6,"2020-2-105"
"392","employment",48.6,"2020-2-106"
"393","employment",48.6,"2020-2-107"
"394","employment",48.6,"2020-2-108"
"395","employment",48.6,"2020-2-109"
"396","employment",48.6,"2020-2-110"
"397","employment",48.6,"2020-2-111"
"398","employment",48.6,"2020-2-112"
"399","employment",48.6,"2020-2-113"
"400","employment",48.6,"2020-2-114"
"401","employment",48.6,"2020-2-115"
"402","employment",48.6,"2020-2-116"
"403","employment",48.6,"2020-2-117"
"404","employment",48.6,"2020-2-118"
"405","employment",48.6,"2020-2-119"
"406","employment",48.6,"2020-2-120"
"407","employment",40.9,"2020-2-201"
"408","employment",40.9,"2020-2-202"
"409","employment",40.9,"2020-2-203"
"410","employment",40.9,"2020-2-204"
"411","employment",40.9,"2020-2-205"
"412","employment",40.9,"2020-2-206"
"413","employment",40.9,"2020-2-207"
"414","employment",40.9,"2020-2-208"
"415","employment",40.9,"2020-2-209"
"416","employment",40.9,"2020-2-210"
"417","employment",40.9,"2020-2-211"
"418","employment",40.9,"2020-2-212"
"419","employment",40.9,"2020-2-213"
"420","employment",40.9,"2020-2-214"
"421","employment",40.9,"2020-2-215"
"422","employment",40.9,"2020-2-216"
"423","employment",63.6,"2020-2-301"
"424","employment",63.6,"2020-2-302"
"425","employment",63.6,"2020-2-303"
"426","employment",63.6,"2020-2-304"
"427","employment",63.6,"2020-2-305"
"428","employment",63.6,"2020-2-306"
"429","employment",63.6,"2020-2-307"
"430","employment",63.6,"2020-2-308"
"431","employment",42,"2020-2-401"
"432","employment",42,"2020-2-402"
"433","employment",42,"2020-2-403"
"434","employment",42,"2020-2-404"
"435","employment",42,"2020-2-405"
"436","employment",42,"2020-2-406"
"437","employment",42,"2020-2-407"
"438","employment",42,"2020-2-408"
