"","week","pob"
"306","2019-29-406",22748.1864590164
"307","2019-29-407",25810.916704918
"308","2019-29-408",21203.1408196721
"309","2019-29-409",30130.0587704918
"310","2019-29-410",86202.1651803279
"311","2019-29-501",76170.0605491803
"312","2019-29-502",57179.4592295082
"313","2019-29-503",68351.5498196721
"314","2019-29-504",24223.9625327869
"315","2019-29-505",46077.117295082
"316","2019-29-506",31585.5245081967
"317","2019-29-507",19887.871295082
"318","2019-29-508",24554.020295082
"319","2019-29-509",11475.9821885246
"320","2019-29-510",26083.1401147541
"321","2019-29-511",7102.1561147541
"322","2019-29-601",137537.872967213
"323","2019-29-602",33429.4782131148
"324","2019-29-603",52576.5738606557
"325","2019-29-604",14568.893
"326","2019-29-605",29567.1063688525
"327","2019-29-606",33070.8922868852
"328","2019-29-607",32040.2410573771
"329","2019-29-608",36453.9604180328
"330","2019-29-609",20850.6342213115
"331","2019-29-610",51942.1263360656
"332","2019-29-611",25443.5849508197
"333","2019-29-612",4725.2305
"334","2019-29-613",12546.7922459016
"335","2019-29-701",93430.8550737705
"336","2019-29-702",148978.391081967
"337","2019-29-703",56933.6274836066
"338","2019-29-704",42905.4513606557
"339","2019-29-705",44144.5665983607
"340","2019-29-706",55176.2269180328
"341","2019-30-  0",5023296.47144809
"342","2019-30-101",347765.734005464
"343","2019-30-102",69367.2791147541
"344","2019-30-103",238852.469387978
"345","2019-30-104",38254.4625300546
"346","2019-30-105",17845.3594808743
"347","2019-30-106",61659.3650273224
"348","2019-30-107",28308.5986229508
"349","2019-30-108",137152.111612022
"350","2019-30-109",59365.5648961749
"351","2019-30-110",92750.8776448087
"352","2019-30-111",69787.1161256831
"353","2019-30-112",21704.2905464481
"354","2019-30-113",83715.559284153
"355","2019-30-114",61130.7455191257
"356","2019-30-115",61399.4337650273
"357","2019-30-116",7126.07338797814
"358","2019-30-117",7760.24998907104
"359","2019-30-118",78089.8623278688
"360","2019-30-119",135605.145453552
"361","2019-30-120",13115.646010929
"362","2019-30-201",313550.563114754
"363","2019-30-202",89277.6880491803
"364","2019-30-203",77917.3716775956
"365","2019-30-204",7324.00035519126
"366","2019-30-205",29554.6027923497
"367","2019-30-206",48786.3893005464
"368","2019-30-207",40987.250010929
"369","2019-30-208",33905.0827814208
"370","2019-30-209",23901.1474098361
"371","2019-30-210",200600.423688525
"372","2019-30-211",14416.7300054645
"373","2019-30-212",22174.760568306
"374","2019-30-213",54478.7318142076
"375","2019-30-214",34088.6434918033
"376","2019-30-215",19178.4664535519
"377","2019-30-216",16607.7702076503
"378","2019-30-301",160837.259901639
"379","2019-30-302",60519.9388415301
"380","2019-30-303",111226.67457377
"381","2019-30-304",16010.7889125683
"382","2019-30-305",70306.0533715847
"383","2019-30-306",15061.4069562842
"384","2019-30-307",48170.455863388
"385","2019-30-308",44523.9566994536
"386","2019-30-401",141349.93820765
"387","2019-30-402",46445.1021420765
"388","2019-30-403",48638.0188032787
"389","2019-30-404",43012.1180054645
"390","2019-30-405",54345.7451912568
"391","2019-30-406",22750.8349453552
"392","2019-30-407",25813.5596065574
"393","2019-30-408",21206.4977595628
"394","2019-30-409",30131.4260273224
"395","2019-30-410",86235.5185737705
"396","2019-30-501",76188.8537322404
"397","2019-30-502",57185.3393060109
"398","2019-30-503",68367.8450928962
"399","2019-30-504",24228.6260437158
"400","2019-30-505",46089.4660601093
"401","2019-30-506",31589.7426775956
"402","2019-30-507",19888.6840601093
"403","2019-30-508",24555.2740601093
"404","2019-30-509",11476.2402513661
"405","2019-30-510",26090.2358196721
"406","2019-30-511",7102.1514863388
"407","2019-30-601",137559.873622951
"408","2019-30-602",33436.199284153
"409","2019-30-603",52585.2774808743
"410","2019-30-604",14570.2276666667
"411","2019-30-605",29567.1271584699
"412","2019-30-606",33077.5330491803
"413","2019-30-607",32040.5584098361
"414","2019-30-608",36451.5842240437
"415","2019-30-609",20856.0656284153
"416","2019-30-610",51947.3501147541
"417","2019-30-611",25454.7786010929
"418","2019-30-612",4725.724
"419","2019-30-613",12551.6423278689
"420","2019-30-701",93427.405431694
"421","2019-30-702",149003.861442623
"422","2019-30-703",56932.9786448087
"423","2019-30-704",42916.3518142077
"424","2019-30-705",44149.6251311475
"425","2019-30-706",55188.9882240437
"426","2019-31-  0",5023878.06706011
"427","2019-31-101",347784.052756831
"428","2019-31-102",69373.4058934426
"429","2019-31-103",238875.016234973
"430","2019-31-104",38257.9314125683
"431","2019-31-105",17846.0411010929
"432","2019-31-106",61664.008284153
"433","2019-31-107",28310.3622786885
"434","2019-31-108",137162.895265027
"435","2019-31-109",59375.0266202186
"436","2019-31-110",92767.0778060109
"437","2019-31-111",69795.1639071038
"438","2019-31-112",21705.5466830601
"439","2019-31-113",83721.4193551913
"440","2019-31-114",61132.9688989071
"441","2019-31-115",61398.9334562842
"442","2019-31-116",7126.98673497268
"443","2019-31-117",7760.4744863388
"444","2019-31-118",78094.9189098361
"445","2019-31-119",135599.01381694
"446","2019-31-120",13117.0560136612
"447","2019-31-201",313597.972393443
"448","2019-31-202",89287.4928114754
"449","2019-31-203",77927.4453469945
"450","2019-31-204",7324.76819398907
"451","2019-31-205",29557.9827404372
"452","2019-31-206",48791.7096256831
"453","2019-31-207",40993.2485136612
"454","2019-31-208",33910.703226776
"455","2019-31-209",23905.4477622951
"456","2019-31-210",200638.944860656
"457","2019-31-211",14418.2872568306
"458","2019-31-212",22177.0797103825
"459","2019-31-213",54487.7562677596
"460","2019-31-214",34099.5096147541
"461","2019-31-215",19181.4208169399
"462","2019-31-216",16612.3142595628
"463","2019-31-301",160846.437877049
"464","2019-31-302",60524.0200519126
"465","2019-31-303",111237.844967213
"466","2019-31-304",16010.0928907104
"467","2019-31-305",70301.1854644809
"468","2019-31-306",15061.9864453552
"469","2019-31-307",48173.174579235
"470","2019-31-308",44526.9173743169
"471","2019-31-401",141367.589759563
"472","2019-31-402",46453.2331775956
"473","2019-31-403",48642.9067540984
"474","2019-31-404",43019.4292568306
"475","2019-31-405",54353.786489071
"476","2019-31-406",22753.483431694
"477","2019-31-407",25816.2025081967
"478","2019-31-408",21209.8546994535
"479","2019-31-409",30132.793284153
"480","2019-31-410",86268.8719672131
"481","2019-31-501",76207.6469153005
"482","2019-31-502",57191.2193825137
"483","2019-31-503",68384.1403661202
"484","2019-31-504",24233.2895546448
"485","2019-31-505",46101.8148251366
"486","2019-31-506",31593.9608469945
"487","2019-31-507",19889.4968251366
"488","2019-31-508",24556.5278251366
"489","2019-31-509",11476.4983142077
"490","2019-31-510",26097.3315245902
"491","2019-31-511",7102.1468579235
"492","2019-31-601",137581.874278689
"493","2019-31-602",33442.9203551913
"494","2019-31-603",52593.9811010929
"495","2019-31-604",14571.5623333333
"496","2019-31-605",29567.1479480874
"497","2019-31-606",33084.1738114754
"498","2019-31-607",32040.8757622951
"499","2019-31-608",36449.2080300546
"500","2019-31-609",20861.4970355191
"501","2019-31-610",51952.5738934426
"502","2019-31-611",25465.9722513661
"503","2019-31-612",4726.2175
"504","2019-31-613",12556.4924098361
"505","2019-31-701",93423.9557896175
"506","2019-31-702",149029.331803279
"507","2019-31-703",56932.3298060109
"508","2019-31-704",42927.2522677596
"509","2019-31-705",44154.6836639344
"510","2019-31-706",55201.7495300546
"511","2019-32-  0",5024459.66267213
"512","2019-32-101",347802.371508197
"513","2019-32-102",69379.5326721311
"514","2019-32-103",238897.563081967
"515","2019-32-104",38261.400295082
"516","2019-32-105",17846.7227213115
"517","2019-32-106",61668.6515409836
"518","2019-32-107",28312.1259344262
"519","2019-32-108",137173.678918033
"520","2019-32-109",59384.4883442623
"521","2019-32-110",92783.2779672131
"522","2019-32-111",69803.2116885246
"523","2019-32-112",21706.8028196721
"524","2019-32-113",83727.2794262295
"525","2019-32-114",61135.1922786885
"526","2019-32-115",61398.433147541
"527","2019-32-116",7127.90008196721
"528","2019-32-117",7760.69898360656
"529","2019-32-118",78099.9754918033
"530","2019-32-119",135592.882180328
"531","2019-32-120",13118.4660163934
"532","2019-32-201",313645.381672131
"533","2019-32-202",89297.2975737705
"534","2019-32-203",77937.5190163934
"535","2019-32-204",7325.53603278689
"536","2019-32-205",29561.3626885246
"537","2019-32-206",48797.0299508197
"538","2019-32-207",40999.2470163934
"539","2019-32-208",33916.3236721311
"540","2019-32-209",23909.7481147541
"541","2019-32-210",200677.466032787
"542","2019-32-211",14419.8445081967
"543","2019-32-212",22179.398852459
"544","2019-32-213",54496.7807213115
"545","2019-32-214",34110.3757377049
"546","2019-32-215",19184.3751803279
"547","2019-32-216",16616.8583114754
"548","2019-32-301",160855.615852459
"549","2019-32-302",60528.1012622951
"550","2019-32-303",111249.015360656
"551","2019-32-304",16009.3968688525
"552","2019-32-305",70296.317557377
"553","2019-32-306",15062.5659344262
"554","2019-32-307",48175.893295082
"555","2019-32-308",44529.8780491803
"556","2019-32-401",141385.241311475
"557","2019-32-402",46461.3642131148
"558","2019-32-403",48647.794704918
"559","2019-32-404",43026.7405081967
"560","2019-32-405",54361.8277868852
"561","2019-32-406",22756.1319180328
"562","2019-32-407",25818.8454098361
"563","2019-32-408",21213.2116393443
"564","2019-32-409",30134.1605409836
"565","2019-32-410",86302.2253606557
"566","2019-32-501",76226.4400983606
"567","2019-32-502",57197.0994590164
"568","2019-32-503",68400.4356393443
"569","2019-32-504",24237.9530655738
"570","2019-32-505",46114.1635901639
"571","2019-32-506",31598.1790163934
"572","2019-32-507",19890.3095901639
"573","2019-32-508",24557.7815901639
"574","2019-32-509",11476.7563770492
"575","2019-32-510",26104.4272295082
"576","2019-32-511",7102.1422295082
"577","2019-32-601",137603.874934426
"578","2019-32-602",33449.6414262295
"579","2019-32-603",52602.6847213115
"580","2019-32-604",14572.897
"581","2019-32-605",29567.1687377049
"582","2019-32-606",33090.8145737705
"583","2019-32-607",32041.1931147541
"584","2019-32-608",36446.8318360656
"585","2019-32-609",20866.9284426229
"586","2019-32-610",51957.7976721311
"587","2019-32-611",25477.1659016393
"588","2019-32-612",4726.711
"589","2019-32-613",12561.3424918033
"590","2019-32-701",93420.506147541
"591","2019-32-702",149054.802163934
"592","2019-32-703",56931.6809672131
"593","2019-32-704",42938.1527213115
"594","2019-32-705",44159.7421967213
"595","2019-32-706",55214.5108360656
"596","2019-33-  0",5025041.25828415
"597","2019-33-101",347820.690259563
"598","2019-33-102",69385.6594508197
"599","2019-33-103",238920.109928962
"600","2019-33-104",38264.8691775956
"601","2019-33-105",17847.4043415301
"602","2019-33-106",61673.2947978142
"603","2019-33-107",28313.8895901639
"604","2019-33-108",137184.462571038
"605","2019-33-109",59393.950068306
"606","2019-33-110",92799.4781284153
"607","2019-33-111",69811.2594699454
"608","2019-33-112",21708.0589562842
"609","2019-33-113",83733.1394972678
"610","2019-33-114",61137.4156584699
"611","2019-33-115",61397.9328387978
"612","2019-33-116",7128.81342896175
"613","2019-33-117",7760.92348087432
"614","2019-33-118",78105.0320737705
"615","2019-33-119",135586.750543716
"616","2019-33-120",13119.8760191257
"617","2019-33-201",313692.79095082
"618","2019-33-202",89307.1023360656
"619","2019-33-203",77947.5926857923
"620","2019-33-204",7326.3038715847
"621","2019-33-205",29564.742636612
"622","2019-33-206",48802.3502759563
"623","2019-33-207",41005.2455191257
"624","2019-33-208",33921.9441174863
"625","2019-33-209",23914.0484672131
"626","2019-33-210",200715.987204918
"627","2019-33-211",14421.4017595628
"628","2019-33-212",22181.7179945355
"629","2019-33-213",54505.8051748634
"630","2019-33-214",34121.2418606557
"631","2019-33-215",19187.3295437158
"632","2019-33-216",16621.402363388
"633","2019-33-301",160864.793827869
"634","2019-33-302",60532.1824726776
"635","2019-33-303",111260.185754098
"636","2019-33-304",16008.7008469945
"637","2019-33-305",70291.4496502732
"638","2019-33-306",15063.1454234973
"639","2019-33-307",48178.612010929
"640","2019-33-308",44532.8387240437
"641","2019-33-401",141402.892863388
"642","2019-33-402",46469.4952486339
"643","2019-33-403",48652.6826557377
"644","2019-33-404",43034.0517595628
"645","2019-33-405",54369.8690846995
"646","2019-33-406",22758.7804043716
"647","2019-33-407",25821.4883114754
"648","2019-33-408",21216.568579235
"649","2019-33-409",30135.5277978142
"650","2019-33-410",86335.5787540984
"651","2019-33-501",76245.2332814208
"652","2019-33-502",57202.9795355191
"653","2019-33-503",68416.7309125683
"654","2019-33-504",24242.6165765027
"655","2019-33-505",46126.5123551913
"656","2019-33-506",31602.3971857923
"657","2019-33-507",19891.1223551913
"658","2019-33-508",24559.0353551913
"659","2019-33-509",11477.0144398907
"660","2019-33-510",26111.5229344262
"661","2019-33-511",7102.1376010929
"662","2019-33-601",137625.875590164
"663","2019-33-602",33456.3624972678
"664","2019-33-603",52611.3883415301
"665","2019-33-604",14574.2316666667
"666","2019-33-605",29567.1895273224
"667","2019-33-606",33097.4553360656
"668","2019-33-607",32041.5104672131
"669","2019-33-608",36444.4556420765
"670","2019-33-609",20872.3598497268
"671","2019-33-610",51963.0214508197
"672","2019-33-611",25488.3595519126
"673","2019-33-612",4727.2045
"674","2019-33-613",12566.1925737705
"675","2019-33-701",93417.0565054645
"676","2019-33-702",149080.27252459
"677","2019-33-703",56931.0321284153
"678","2019-33-704",42949.0531748634
"679","2019-33-705",44164.8007295082
"680","2019-33-706",55227.2721420765
"681","2019-34-  0",5025622.85389617
"682","2019-34-101",347839.009010929
"683","2019-34-102",69391.7862295082
"684","2019-34-103",238942.656775956
"685","2019-34-104",38268.3380601093
"686","2019-34-105",17848.0859617486
"687","2019-34-106",61677.9380546448
"688","2019-34-107",28315.6532459016
"689","2019-34-108",137195.246224044
"690","2019-34-109",59403.4117923497
"691","2019-34-110",92815.6782896175
"692","2019-34-111",69819.3072513661
"693","2019-34-112",21709.3150928962
"694","2019-34-113",83738.999568306
"695","2019-34-114",61139.6390382514
"696","2019-34-115",61397.4325300546
"697","2019-34-116",7129.72677595628
"698","2019-34-117",7761.14797814208
"699","2019-34-118",78110.0886557377
"700","2019-34-119",135580.618907104
"701","2019-34-120",13121.2860218579
"702","2019-34-201",313740.200229508
"703","2019-34-202",89316.9070983607
"704","2019-34-203",77957.6663551913
"705","2019-34-204",7327.07171038251
"706","2019-34-205",29568.1225846995
"707","2019-34-206",48807.6706010929
"708","2019-34-207",41011.2440218579
"709","2019-34-208",33927.5645628415
"710","2019-34-209",23918.3488196721
"711","2019-34-210",200754.508377049
"712","2019-34-211",14422.959010929
"713","2019-34-212",22184.037136612
"714","2019-34-213",54514.8296284153
"715","2019-34-214",34132.1079836066
"716","2019-34-215",19190.2839071038
"717","2019-34-216",16625.9464153005
"718","2019-34-301",160873.971803279
"719","2019-34-302",60536.2636830601
"720","2019-34-303",111271.356147541
"721","2019-34-304",16008.0048251366
"722","2019-34-305",70286.5817431694
"723","2019-34-306",15063.7249125683
"724","2019-34-307",48181.330726776
"725","2019-34-308",44535.7993989071
"726","2019-34-401",141420.544415301
"727","2019-34-402",46477.626284153
"728","2019-34-403",48657.5706065574
"729","2019-34-404",43041.363010929
"730","2019-34-405",54377.9103825137
"731","2019-34-406",22761.4288907104
"732","2019-34-407",25824.1312131148
"733","2019-34-408",21219.9255191257
"734","2019-34-409",30136.8950546448
"735","2019-34-410",86368.932147541
"736","2019-34-501",76264.0264644809
"737","2019-34-502",57208.8596120219
"738","2019-34-503",68433.0261857923
"739","2019-34-504",24247.2800874317
"740","2019-34-505",46138.8611202186
"741","2019-34-506",31606.6153551913
"742","2019-34-507",19891.9351202186
"743","2019-34-508",24560.2891202186
"744","2019-34-509",11477.2725027322
"745","2019-34-510",26118.6186393443
"746","2019-34-511",7102.1329726776
"747","2019-34-601",137647.876245902
"748","2019-34-602",33463.083568306
"749","2019-34-603",52620.0919617486
"750","2019-34-604",14575.5663333333
"751","2019-34-605",29567.2103169399
"752","2019-34-606",33104.0960983607
"753","2019-34-607",32041.8278196721
"754","2019-34-608",36442.0794480874
"755","2019-34-609",20877.7912568306
"756","2019-34-610",51968.2452295082
"757","2019-34-611",25499.5532021858
"758","2019-34-612",4727.698
"759","2019-34-613",12571.0426557377
"760","2019-34-701",93413.606863388
"761","2019-34-702",149105.742885246
"762","2019-34-703",56930.3832896175
"763","2019-34-704",42959.9536284153
"764","2019-34-705",44169.8592622951
"765","2019-34-706",55240.0334480874
"766","2019-35-  0",5026204.4495082
"767","2019-35-101",347857.327762295
"768","2019-35-102",69397.9130081967
"769","2019-35-103",238965.203622951
"770","2019-35-104",38271.8069426229
"771","2019-35-105",17848.7675819672
"772","2019-35-106",61682.5813114754
"773","2019-35-107",28317.4169016393
"774","2019-35-108",137206.029877049
"775","2019-35-109",59412.8735163934
"776","2019-35-110",92831.8784508197
"777","2019-35-111",69827.3550327869
"778","2019-35-112",21710.5712295082
"779","2019-35-113",83744.8596393443
"780","2019-35-114",61141.8624180328
"781","2019-35-115",61396.9322213115
"782","2019-35-116",7130.64012295082
"783","2019-35-117",7761.37247540984
