"","week_canton","ndvi"
"108","2020-2-504",0.637605301991775
"109","2020-2-506",0.63253040307367
"110","2020-2-505",0.495795949765364
"111","2020-2-511",0.686225649831072
"112","2020-2-510",0.832279885969497
"113","2020-2-501",0.40724483011114
"114","2020-2-509",0.769552600912506
"115","2020-2-502",0.696363221848202
"116","2020-2-503",0.654252805172336
"117","2020-2-508",0.355551560829968
"118","2020-2-402",0.746163580458245
"119","2020-2-407",0.424356725614447
"120","2020-2-408",0.430576464440868
"121","2020-2-401",0.799886971921415
"122","2020-2-406",0.768877698016098
"123","2020-2-409",0.409395381046287
"124","2020-2-405",0.795737331740153
"125","2020-2-404",0.812143930934367
"126","2020-2-403",0.66817705233662
"127","2020-2-410",0.812989557159734
"128","2020-2-706",0.863437482541559
"129","2020-2-701",0.901780902615025
"130","2020-2-705",0.469836261667051
"131","2020-2-702",0.747647739796372
"132","2020-2-703",0.672487764253276
"133","2020-2-704",0.885951843208383
"134","2020-2-603",0.843089217984835
"135","2020-2-610",0.912627286934624
"136","2020-2-608",0.805614304805732
"137","2020-2-602",0.732702670382561
"138","2020-2-611",0.855382544655294
"139","2020-2-607",-0.3
"140","2020-2-604",0.748772954213407
"141","2020-2-605",0.818038071348079
"142","2020-2-609",0.871736855545703
"143","2020-2-601",0.844210350066097
"144","2020-2-606",0.855062581413614
"145","2020-2-112",0.75382779488154
"146","2020-2-110",0.65079538514019
"147","2020-2-106",0.78911025407713
"148","2020-2-118",0.462230577539253
"149","2020-2-103",0.76293718616634
"150","2020-2-117",0.91685696707368
"151","2020-2-102",0.478959351438517
"152","2020-2-108",0.656238182155926
"153","2020-2-120",0.832833038831675
"154","2020-2-115",0.455663219374851
"155","2020-2-107",0.837726712222946
"156","2020-2-114",0.693012349046599
"157","2020-2-119",0.738916151562331
"158","2020-2-104",0.75700826417423
"159","2020-2-101",0.589488313166784
"160","2020-2-109",0.505162883114499
"161","2020-2-105",0.55440105862542
"162","2020-2-113",0.171332060961558
"163","2020-2-116",0.912629808493403
"164","2020-2-111",0.504001449809411
"165","2020-3-201",0.863378456762006
"166","2020-3-205",0.717902825001596
"167","2020-3-203",0.688475353101085
"168","2020-3-215",0.495508980449736
"169","2020-3-214",0.748534580471281
"170","2020-3-206",0.665676179361382
"171","2020-3-209",0.462490760694095
"172","2020-3-207",0.588347542774804
"173","2020-3-208",0.692869131100128
"174","2020-3-216",0.298561561198494
"175","2020-3-210",0.616409228629859
"176","2020-3-204",0.786258815553136
"177","2020-3-202",0.185447829679133
"178","2020-3-212",0.7860183974286
"179","2020-3-213",0.507225062425214
"180","2020-3-211",0.20266330934259
"181","2020-3-306",0.705361299677644
"182","2020-3-301",0.774130635909423
"183","2020-3-308",0.844024657109173
"184","2020-3-304",0.76699857562639
"185","2020-3-303",0.525713398145757
