urb,week_canton
2,2020-8-202
1,2020-8-203
2,2020-8-204
1,2020-8-205
1,2020-8-206
1,2020-8-207
1,2020-8-208
2,2020-8-209
2,2020-8-210
2,2020-8-211
2,2020-8-212
2,2020-8-213
0,2020-8-214
0,2020-8-215
0,2020-8-216
1,2020-8-301
2,2020-8-302
1,2020-8-303
2,2020-8-304
2,2020-8-305
2,2020-8-306
1,2020-8-307
1,2020-8-308
1,2020-8-401
1,2020-8-402
1,2020-8-403
1,2020-8-404
1,2020-8-405
1,2020-8-406
1,2020-8-407
1,2020-8-408
1,2020-8-409
0,2020-8-410
2,2020-8-501
0,2020-8-502
0,2020-8-503
0,2020-8-504
2,2020-8-505
0,2020-8-506
0,2020-8-507
0,2020-8-508
0,2020-8-509
0,2020-8-510
2,2020-8-511
2,2020-8-601
2,2020-8-602
0,2020-8-603
2,2020-8-604
2,2020-8-605
2,2020-8-606
0,2020-8-607
2,2020-8-608
2,2020-8-609
2,2020-8-610
0,2020-8-611
0,2020-8-701
0,2020-8-702
0,2020-8-703
0,2020-8-704
0,2020-8-705
2,2020-8-706
1,2020-9-101
1,2020-9-102
1,2020-9-103
2,2020-9-104
2,2020-9-105
1,2020-9-106
2,2020-9-107
1,2020-9-108
1,2020-9-109
1,2020-9-110
1,2020-9-111
2,2020-9-112
1,2020-9-113
1,2020-9-114
1,2020-9-115
0,2020-9-116
0,2020-9-117
1,2020-9-118
2,2020-9-119
2,2020-9-120
1,2020-9-201
2,2020-9-202
1,2020-9-203
2,2020-9-204
1,2020-9-205
1,2020-9-206
1,2020-9-207
1,2020-9-208
2,2020-9-209
2,2020-9-210
2,2020-9-211
2,2020-9-212
2,2020-9-213
0,2020-9-214
0,2020-9-215
0,2020-9-216
1,2020-9-301
2,2020-9-302
1,2020-9-303
2,2020-9-304
2,2020-9-305
2,2020-9-306
1,2020-9-307
1,2020-9-308
1,2020-9-401
1,2020-9-402
1,2020-9-403
1,2020-9-404
1,2020-9-405
1,2020-9-406
1,2020-9-407
1,2020-9-408
1,2020-9-409
0,2020-9-410
2,2020-9-501
0,2020-9-502
0,2020-9-503
0,2020-9-504
2,2020-9-505
0,2020-9-506
0,2020-9-507
0,2020-9-508
0,2020-9-509
0,2020-9-510
2,2020-9-511
2,2020-9-601
2,2020-9-602
0,2020-9-603
2,2020-9-604
2,2020-9-605
2,2020-9-606
0,2020-9-607
2,2020-9-608
2,2020-9-609
2,2020-9-610
0,2020-9-611
0,2020-9-701
0,2020-9-702
0,2020-9-703
0,2020-9-704
0,2020-9-705
2,2020-9-706
1,2020-10-101
1,2020-10-102
1,2020-10-103
2,2020-10-104
2,2020-10-105
1,2020-10-106
2,2020-10-107
1,2020-10-108
1,2020-10-109
1,2020-10-110
1,2020-10-111
2,2020-10-112
1,2020-10-113
1,2020-10-114
1,2020-10-115
0,2020-10-116
0,2020-10-117
1,2020-10-118
2,2020-10-119
2,2020-10-120
1,2020-10-201
2,2020-10-202
1,2020-10-203
2,2020-10-204
1,2020-10-205
1,2020-10-206
1,2020-10-207
1,2020-10-208
2,2020-10-209
2,2020-10-210
2,2020-10-211
2,2020-10-212
2,2020-10-213
0,2020-10-214
0,2020-10-215
0,2020-10-216
1,2020-10-301
2,2020-10-302
1,2020-10-303
2,2020-10-304
2,2020-10-305
2,2020-10-306
1,2020-10-307
1,2020-10-308
1,2020-10-401
1,2020-10-402
1,2020-10-403
1,2020-10-404
1,2020-10-405
1,2020-10-406
1,2020-10-407
1,2020-10-408
1,2020-10-409
0,2020-10-410
2,2020-10-501
0,2020-10-502
0,2020-10-503
0,2020-10-504
2,2020-10-505
0,2020-10-506
0,2020-10-507
0,2020-10-508
0,2020-10-509
0,2020-10-510
2,2020-10-511
2,2020-10-601
2,2020-10-602
0,2020-10-603
2,2020-10-604
2,2020-10-605
2,2020-10-606
0,2020-10-607
2,2020-10-608
2,2020-10-609
2,2020-10-610
0,2020-10-611
0,2020-10-701
0,2020-10-702
0,2020-10-703
0,2020-10-704
0,2020-10-705
2,2020-10-706
1,2020-11-101
1,2020-11-102
1,2020-11-103
2,2020-11-104
2,2020-11-105
1,2020-11-106
2,2020-11-107
1,2020-11-108
1,2020-11-109
1,2020-11-110
1,2020-11-111
2,2020-11-112
1,2020-11-113
1,2020-11-114
1,2020-11-115
0,2020-11-116
0,2020-11-117
1,2020-11-118
2,2020-11-119
2,2020-11-120
1,2020-11-201
2,2020-11-202
1,2020-11-203
2,2020-11-204
1,2020-11-205
1,2020-11-206
1,2020-11-207
1,2020-11-208
2,2020-11-209
2,2020-11-210
2,2020-11-211
2,2020-11-212
2,2020-11-213
0,2020-11-214
0,2020-11-215
0,2020-11-216
1,2020-11-301
2,2020-11-302
1,2020-11-303
2,2020-11-304
2,2020-11-305
2,2020-11-306
1,2020-11-307
1,2020-11-308
1,2020-11-401
1,2020-11-402
1,2020-11-403
1,2020-11-404
1,2020-11-405
1,2020-11-406
1,2020-11-407
1,2020-11-408
1,2020-11-409
0,2020-11-410
2,2020-11-501
0,2020-11-502
0,2020-11-503
0,2020-11-504
2,2020-11-505
0,2020-11-506
0,2020-11-507
0,2020-11-508
0,2020-11-509
0,2020-11-510
2,2020-11-511
2,2020-11-601
2,2020-11-602
0,2020-11-603
2,2020-11-604
2,2020-11-605
2,2020-11-606
0,2020-11-607
2,2020-11-608
2,2020-11-609
2,2020-11-610
0,2020-11-611
0,2020-11-701
0,2020-11-702
0,2020-11-703
0,2020-11-704
0,2020-11-705
2,2020-11-706
1,2020-12-101
1,2020-12-102
1,2020-12-103
2,2020-12-104
2,2020-12-105
1,2020-12-106
2,2020-12-107
1,2020-12-108
1,2020-12-109
1,2020-12-110
1,2020-12-111
2,2020-12-112
1,2020-12-113
1,2020-12-114
1,2020-12-115
0,2020-12-116
0,2020-12-117
1,2020-12-118
2,2020-12-119
2,2020-12-120
1,2020-12-201
2,2020-12-202
1,2020-12-203
2,2020-12-204
1,2020-12-205
1,2020-12-206
1,2020-12-207
1,2020-12-208
2,2020-12-209
2,2020-12-210
2,2020-12-211
2,2020-12-212
2,2020-12-213
0,2020-12-214
0,2020-12-215
0,2020-12-216
1,2020-12-301
2,2020-12-302
1,2020-12-303
2,2020-12-304
2,2020-12-305
2,2020-12-306
1,2020-12-307
1,2020-12-308
1,2020-12-401
1,2020-12-402
1,2020-12-403
1,2020-12-404
1,2020-12-405
1,2020-12-406
1,2020-12-407
1,2020-12-408
1,2020-12-409
0,2020-12-410
2,2020-12-501
0,2020-12-502
0,2020-12-503
0,2020-12-504
2,2020-12-505
0,2020-12-506
0,2020-12-507
0,2020-12-508
0,2020-12-509
0,2020-12-510
2,2020-12-511
2,2020-12-601
2,2020-12-602
0,2020-12-603
2,2020-12-604
2,2020-12-605
2,2020-12-606
0,2020-12-607
2,2020-12-608
2,2020-12-609
2,2020-12-610
0,2020-12-611
0,2020-12-701
0,2020-12-702
0,2020-12-703
0,2020-12-704
0,2020-12-705
2,2020-12-706
1,2020-13-101
1,2020-13-102
1,2020-13-103
2,2020-13-104
2,2020-13-105
1,2020-13-106
2,2020-13-107
1,2020-13-108
1,2020-13-109
1,2020-13-110
1,2020-13-111
2,2020-13-112
1,2020-13-113
1,2020-13-114
1,2020-13-115
0,2020-13-116
0,2020-13-117
1,2020-13-118
2,2020-13-119
2,2020-13-120
1,2020-13-201
2,2020-13-202
1,2020-13-203
2,2020-13-204
1,2020-13-205
1,2020-13-206
1,2020-13-207
1,2020-13-208
2,2020-13-209
2,2020-13-210
2,2020-13-211
2,2020-13-212
2,2020-13-213
0,2020-13-214
0,2020-13-215
0,2020-13-216
1,2020-13-301
2,2020-13-302
1,2020-13-303
2,2020-13-304
2,2020-13-305
2,2020-13-306
1,2020-13-307
1,2020-13-308
1,2020-13-401
1,2020-13-402
1,2020-13-403
1,2020-13-404
1,2020-13-405
1,2020-13-406
1,2020-13-407
1,2020-13-408
1,2020-13-409
0,2020-13-410
2,2020-13-501
0,2020-13-502
0,2020-13-503
0,2020-13-504
2,2020-13-505
0,2020-13-506
0,2020-13-507
0,2020-13-508
0,2020-13-509
0,2020-13-510
2,2020-13-511
2,2020-13-601
2,2020-13-602
0,2020-13-603
2,2020-13-604
2,2020-13-605
2,2020-13-606
0,2020-13-607
2,2020-13-608
2,2020-13-609
2,2020-13-610
0,2020-13-611
0,2020-13-701
0,2020-13-702
0,2020-13-703
0,2020-13-704
0,2020-13-705
2,2020-13-706
1,2020-14-101
1,2020-14-102
1,2020-14-103
2,2020-14-104
2,2020-14-105
1,2020-14-106
2,2020-14-107
1,2020-14-108
1,2020-14-109
1,2020-14-110
1,2020-14-111
2,2020-14-112
1,2020-14-113
1,2020-14-114
1,2020-14-115
0,2020-14-116
0,2020-14-117
1,2020-14-118
2,2020-14-119
2,2020-14-120
1,2020-14-201
2,2020-14-202
1,2020-14-203
2,2020-14-204
1,2020-14-205
1,2020-14-206
1,2020-14-207
1,2020-14-208
2,2020-14-209
2,2020-14-210
2,2020-14-211
2,2020-14-212
2,2020-14-213
0,2020-14-214
0,2020-14-215
0,2020-14-216
1,2020-14-301
2,2020-14-302
1,2020-14-303
2,2020-14-304
2,2020-14-305
2,2020-14-306
1,2020-14-307
1,2020-14-308
1,2020-14-401
1,2020-14-402
1,2020-14-403
1,2020-14-404
1,2020-14-405
1,2020-14-406
1,2020-14-407
1,2020-14-408
1,2020-14-409
0,2020-14-410
2,2020-14-501
0,2020-14-502
0,2020-14-503
0,2020-14-504
2,2020-14-505
0,2020-14-506
0,2020-14-507
0,2020-14-508
0,2020-14-509
0,2020-14-510
2,2020-14-511
2,2020-14-601
2,2020-14-602
0,2020-14-603
2,2020-14-604
2,2020-14-605
2,2020-14-606
0,2020-14-607
2,2020-14-608
2,2020-14-609
2,2020-14-610
0,2020-14-611
0,2020-14-701
0,2020-14-702
0,2020-14-703
0,2020-14-704
0,2020-14-705
2,2020-14-706
1,2020-15-101
1,2020-15-102
1,2020-15-103
2,2020-15-104
2,2020-15-105
1,2020-15-106
2,2020-15-107
1,2020-15-108
1,2020-15-109
1,2020-15-110
1,2020-15-111
2,2020-15-112
1,2020-15-113
1,2020-15-114
1,2020-15-115
0,2020-15-116
0,2020-15-117
1,2020-15-118
2,2020-15-119
2,2020-15-120
1,2020-15-201
2,2020-15-202
1,2020-15-203
2,2020-15-204
1,2020-15-205
1,2020-15-206
1,2020-15-207
1,2020-15-208
2,2020-15-209
2,2020-15-210
