"","canton","tmin_min","tmin_max","tmin_mean","tmin_median","week"
"230","Los Chiles",30.094809,33.15545,31.7346311136364,31.6748385,"2023-1"
"231","Matina",25.439373,32.660503,29.04427125,28.911648,"2023-1"
"232","Montes de Oro",26.72757,32.060658,29.0204343125,28.92667,"2023-1"
"233","Mora",26.85228,28.27669,27.717805,27.816554,"2023-1"
"234","Nandayure",30.400078,34.848457,32.28756535,32.279352,"2023-1"
"235","Naranjo",25.9592,27.156492,26.582558125,26.655343,"2023-1"
"236","Nicoya",29.707573,34.953136,32.24423334375,32.257416,"2023-1"
"237","Oreamuno",24.076979,25.005264,24.56723,24.5630915,"2023-1"
"238","Orotina",30.900478,33.339085,31.70714775,31.6025725,"2023-1"
"239","Osa",29.984953,33.68932,31.6882628083333,31.656619,"2023-1"
"240","Paraíso",17.672937,24.460892,20.84459809375,20.501256,"2023-1"
"241","Parrita",30.16903,33.610947,32.0153904166667,32.2623085,"2023-1"
"242","Pococí",23.530928,32.541225,30.7705504375,31.222637,"2023-1"
"243","Puntarenas",NA,NA,NA,NA,"2023-1"
"244","Puriscal",25.565323,33.125927,29.359619075,29.179245,"2023-1"
"245","Pérez Zeledón",20.102482,31.254635,25.9424361339286,26.7775405,"2023-1"
"246","Quepos",28.739923,33.17842,31.5529808958333,31.96532,"2023-1"
"247","Río Cuarto",25.171093,32.1227,29.0111675833333,30.107385,"2023-1"
"248","San Carlos",23.307556,33.03237,30.3845546634615,30.8721725,"2023-1"
"249","San Mateo",28.082132,30.377445,28.874189625,28.7905655,"2023-1"
"250","San Pablo",25.52986,26.43419,26.04872625,26.0949405,"2023-1"
"251","San Ramón",24.011131,30.578842,26.513230203125,26.1101445,"2023-1"
"252","Santa Ana",25.107431,26.305677,25.932646375,26.081105,"2023-1"
"253","Santa Cruz",NA,NA,NA,NA,"2023-1"
"254","Sarapiquí",24.426924,32.304306,30.3574096029412,30.9388395,"2023-1"
"255","Sarchí",22.796865,24.247467,23.439790125,23.3804655,"2023-1"
"256","Siquirres",26.633926,32.274925,29.386023203125,29.2756775,"2023-1"
"257","Talamanca",15.903826,32.752018,23.9840938369565,23.616681,"2023-1"
"258","Tarrazú",22.388868,29.242863,26.3230404375,26.697859,"2023-1"
"259","Tilarán",24.69082,31.511053,28.4670515892857,28.4659595,"2023-1"
"260","Turrialba",17.11393,27.336302,22.8850851538462,23.4139465,"2023-1"
"261","Turrubares",28.548311,33.551357,30.80459453125,30.8912865,"2023-1"
"262","Upala",25.192125,33.34468,29.9580348392857,30.084659,"2023-1"
"263","Vázquez de Coronado",20.282864,25.190788,22.7368644375,22.7549945,"2023-1"
"264","Zarcero",24.366096,25.85112,25.057051375,25.016593,"2023-1"
"265","Abangares",27.776361,34.243973,32.1063123703704,32.5167325,"2024-1"
"266","Acosta",24.880642,32.075294,28.5553763333333,28.439232,"2024-1"
"267","Alajuela",20.43843,29.658667,25.8210054166667,26.5331895,"2024-1"
"268","Alajuelita",21.193554,24.612589,23.5328748888889,23.840075,"2024-1"
"269","Alvarado",22.416052,24.82368,23.9375932222222,23.888052,"2024-1"
"270","Aserrí",22.97048,26.480085,25.3778924444444,25.937902,"2024-1"
"271","Atenas",24.474031,28.182026,27.1292428888889,27.906395,"2024-1"
"272","Bagaces",26.830025,34.702587,31.8424034,32.210475,"2024-1"
"273","Barva",22.124008,24.854557,23.861188,23.752535,"2024-1"
"274","Buenos Aires",20.14098,31.003273,27.1304452631579,27.598791,"2024-1"
"275","Carrillo",NA,NA,NA,NA,"2024-1"
"276","Cartago",21.439653,24.802786,23.6029841666667,23.7832025,"2024-1"
"277","Cañas",29.5068,34.616734,32.6637454888889,33.09174,"2024-1"
"278","Corredores",26.944067,34.694267,31.8947336888889,32.13722,"2024-1"
"279","Coto Brus",19.456558,28.85758,25.2333795972222,25.807129,"2024-1"
"280","Dota",17.662834,28.308521,22.6253373703704,21.498995,"2024-1"
"281","El Guarco",19.020473,24.323757,22.0788290555556,21.876627,"2024-1"
"282","Esparza",28.432966,33.07071,31.2477164444444,31.350632,"2024-1"
"283","Garabito",29.358082,33.198387,31.8112205555556,32.07487,"2024-1"
"284","Golfito",27.583698,35.453556,32.5864697259259,32.94983,"2024-1"
"285","Grecia",24.840868,28.081135,26.9740944444444,27.200268,"2024-1"
"286","Guatuso",26.793821,34.570385,31.2182922857143,31.30161,"2024-1"
"287","Guácimo",21.851974,33.003174,29.4615005333333,30.740498,"2024-1"
"288","Heredia",21.540358,24.84748,23.3867888888889,23.461618,"2024-1"
"289","Hojancha",28.424278,31.555933,30.7087396666667,31.115608,"2024-1"
"290","Jiménez",24.561224,26.844261,25.8833362222222,25.929415,"2024-1"
"291","La Cruz",NA,NA,NA,NA,"2024-1"
"292","La Unión",22.48376,25.572115,24.5624361111111,24.68782,"2024-1"
"293","León Cortés Castro",21.579365,24.952719,23.8410286666667,24.416332,"2024-1"
"294","Liberia",27.897654,35.04558,32.2457015666667,32.5415135,"2024-1"
"295","Limón",19.642157,33.209366,27.6534724,28.656937,"2024-1"
"296","Los Chiles",29.783512,34.517,32.3177183535354,32.363773,"2024-1"
"297","Matina",25.319551,33.40432,29.6495587777778,29.594326,"2024-1"
"298","Montes de Oro",25.655869,31.236086,29.1499486666667,28.6659605,"2024-1"
"299","Mora",24.89229,28.769985,27.5749075555556,28.28015,"2024-1"
"300","Nandayure",28.511036,34.685455,32.1946070222222,32.45576,"2024-1"
"301","Naranjo",24.278582,27.4758,26.4747833333333,26.87965,"2024-1"
"302","Nicoya",27.919622,34.988132,32.0868636296296,32.202106,"2024-1"
"303","Oreamuno",23.366833,25.703344,24.8679187777778,24.661655,"2024-1"
"304","Orotina",29.69308,32.556225,31.6191755555556,32.172276,"2024-1"
"305","Osa",27.708282,34.89628,32.0412010888889,32.41963,"2024-1"
"306","Paraíso",16.859821,25.323885,21.0728409444444,20.838913,"2024-1"
"307","Parrita",28.967941,34.38103,32.3012652222222,32.08007,"2024-1"
"308","Pococí",23.127459,33.552624,31.3014260666667,31.826592,"2024-1"
"309","Puntarenas",NA,NA,NA,NA,"2024-1"
"310","Puriscal",24.069038,33.753605,29.3490505555556,29.747496,"2024-1"
"311","Pérez Zeledón",18.823399,31.94203,26.2466010952381,26.7802305,"2024-1"
