"","temp_prom","week_canton"
"250",29.3701406428572,"2024-42-507"
"251",29.7074518571428,"2024-43-507"
"252",29.0748745714286,"2024-44-507"
"253",28.064538,"2024-45-507"
"254",27.4826538571429,"2024-46-507"
"255",27.9578897857143,"2024-47-507"
"256",28.4598387142857,"2024-48-507"
"257",28.7194875714286,"2024-49-507"
"258",29.0553635714286,"2024-50-507"
"259",28.6016001428571,"2024-51-507"
"260",28.5190344285714,"2024-52-507"
"261",28.3880827857143,"2025-1-507"
"262",28.6039667142857,"2025-2-507"
"263",28.5197659285714,"2025-3-507"
"264",28.9553026428571,"2025-4-507"
"265",29.8021955714286,"2025-5-507"
"266",30.3011425714286,"2025-6-507"
"267",30.5300231428571,"2025-7-507"
"268",30.6480666428572,"2025-8-507"
"269",30.5225566428571,"2025-9-507"
"270",31.0719947857143,"2025-10-507"
"271",31.2345757142857,"2025-11-507"
"272",31.3904789285714,"2025-12-507"
"273",31.5196041428571,"2025-13-507"
"274",31.0511737142857,"2025-14-507"
"275",30.9578819285714,"2025-15-507"
"276",31.4095085,"2025-16-507"
"277",30.8532012857143,"2025-17-507"
"278",31.0034578571429,"2025-18-507"
"279",30.5877057142857,"2025-19-507"
"280",30.6994982142857,"2025-20-507"
"281",30.7227831428572,"2025-21-507"
"282",30.6162914285714,"2025-22-507"
"283",29.8510381428572,"2025-23-507"
"284",29.6185725,"2025-24-507"
"285",29.7854329285714,"2025-25-507"
"286",29.4929540714286,"2025-26-507"
"287",29.7707016428571,"2025-27-507"
"288",29.9341108571429,"2025-28-507"
"289",30.5287225714286,"2025-29-507"
"290",30.1954005,"2025-30-507"
"291",30.3011407857143,"2025-31-507"
"292",29.9513740714286,"2025-32-507"
"293",30.0466631428571,"2025-33-507"
"294",29.9496804285714,"2025-34-507"
"295",30.140265,"2025-35-507"
"296",29.5402929285714,"2025-36-507"
"297",29.8882391428571,"2025-37-507"
"298",29.4677838571429,"2025-38-507"
"299",29.669752,"2025-39-507"
"300",29.0119959285715,"2025-40-507"
"301",28.7201325714286,"2025-41-507"
"302",28.8203982142857,"2025-42-507"
"303",29.0715075714286,"2025-43-507"
"304",28.9846629285715,"2025-44-507"
"305",28.5926349285714,"2025-45-507"
"306",28.4131899285714,"2025-46-507"
"307",28.4308824285715,"2025-47-507"
"308",28.6636886428572,"2025-48-507"
"309",28.7032857142857,"2025-49-507"
"310",28.7778719285714,"2025-50-507"
"311",28.7056084285714,"2025-51-507"
"312",28.7345992857143,"2025-52-507"
"313",23.4345405,"2020-1-112"
"314",23.6259719285714,"2020-2-112"
"315",24.4126094285714,"2020-3-112"
"316",23.481802,"2020-4-112"
"317",23.6466710714286,"2020-5-112"
"318",24.3132893571429,"2020-6-112"
"319",24.6757437142857,"2020-7-112"
"320",25.0089590714286,"2020-8-112"
"321",24.6724632857143,"2020-9-112"
"322",25.0490042857143,"2020-10-112"
"323",25.0770053571429,"2020-11-112"
"324",24.9544962857143,"2020-12-112"
"325",24.8490690714286,"2020-13-112"
"326",24.9131057857143,"2020-14-112"
"327",25.8893587142857,"2020-15-112"
"328",25.0165530714286,"2020-16-112"
"329",24.9956177142857,"2020-17-112"
"330",25.0540245714285,"2020-18-112"
"331",25.274096,"2020-19-112"
"332",25.0841112857143,"2020-20-112"
"333",25.3667973571429,"2020-21-112"
"334",24.9748669285714,"2020-22-112"
"335",24.2862995,"2020-23-112"
"336",24.078368,"2020-24-112"
"337",24.4911775714286,"2020-25-112"
"338",24.6129845714286,"2020-26-112"
"339",24.3896596428572,"2020-27-112"
"340",24.2885160714286,"2020-28-112"
"341",24.5087893571428,"2020-29-112"
"342",24.0864845,"2020-30-112"
"343",24.7676702857143,"2020-31-112"
"344",24.7129571428571,"2020-32-112"
"345",24.2977677142857,"2020-33-112"
"346",23.9045695,"2020-34-112"
"347",23.9730281428571,"2020-35-112"
"348",23.9394916428571,"2020-36-112"
"349",24.0115915,"2020-37-112"
"350",23.8435010714286,"2020-38-112"
"351",23.9607622857143,"2020-39-112"
"352",23.6507877857143,"2020-40-112"
"353",24.0073379285714,"2020-41-112"
"354",23.9898985,"2020-42-112"
"355",23.7210835714286,"2020-43-112"
"356",23.7079582142857,"2020-44-112"
"357",22.2099963571429,"2020-45-112"
"358",22.8306582857143,"2020-46-112"
"359",22.6325488571429,"2020-47-112"
"360",23.0715397142857,"2020-48-112"
"361",23.2391145,"2020-49-112"
"362",22.7822802142857,"2020-50-112"
"363",22.71749,"2020-51-112"
"364",22.9541184285714,"2020-52-112"
"365",22.7415949285714,"2021-1-112"
"366",23.281194,"2021-2-112"
"367",22.9693121428571,"2021-3-112"
"368",23.2287542142857,"2021-4-112"
"369",24.2700089285714,"2021-5-112"
"370",23.9810435714286,"2021-6-112"
"371",23.741173,"2021-7-112"
"372",24.0431926428572,"2021-8-112"
"373",23.9229015,"2021-9-112"
"374",24.3348162857143,"2021-10-112"
"375",23.9731984285714,"2021-11-112"
"376",24.1687320714286,"2021-12-112"
"377",25.0140454285714,"2021-13-112"
"378",24.8151410714286,"2021-14-112"
"379",25.2309649285714,"2021-15-112"
"380",24.901242,"2021-16-112"
"381",24.5176547142857,"2021-17-112"
"382",23.8555082857143,"2021-18-112"
"383",24.6070459285714,"2021-19-112"
"384",24.7085591428572,"2021-20-112"
"385",24.7204466428571,"2021-21-112"
"386",24.1365025714286,"2021-22-112"
"387",23.9858807857143,"2021-23-112"
"388",24.185984,"2021-24-112"
"389",23.8639762142857,"2021-25-112"
"390",23.7276765714286,"2021-26-112"
"391",24.1993802142857,"2021-27-112"
"392",24.4712692857143,"2021-28-112"
"393",24.4142270714285,"2021-29-112"
"394",24.2376795714286,"2021-30-112"
"395",24.1868053571429,"2021-31-112"
"396",23.8167527857143,"2021-32-112"
"397",23.7756181428571,"2021-33-112"
"398",23.8336215,"2021-34-112"
"399",23.9088431428571,"2021-35-112"
"400",23.8379467857143,"2021-36-112"
"401",24.1756092857143,"2021-37-112"
"402",23.8895326428571,"2021-38-112"
"403",23.7970617857143,"2021-39-112"
"404",24.2399692142857,"2021-40-112"
"405",23.5665082142857,"2021-41-112"
"406",23.4233462857143,"2021-42-112"
"407",23.5970662857143,"2021-43-112"
"408",22.927155,"2021-44-112"
"409",22.6207948571428,"2021-45-112"
"410",22.7969055714286,"2021-46-112"
"411",22.3201648571429,"2021-47-112"
"412",22.8169712857143,"2021-48-112"
"413",22.661749,"2021-49-112"
"414",22.563104,"2021-50-112"
"415",22.2168926428572,"2021-51-112"
"416",22.591887,"2021-52-112"
"417",22.7827762857143,"2022-1-112"
"418",22.4599091428571,"2022-2-112"
"419",23.1606682857143,"2022-3-112"
"420",22.5080178571428,"2022-4-112"
"421",22.8599877857143,"2022-5-112"
"422",23.3608219285714,"2022-6-112"
"423",23.889365,"2022-7-112"
"424",23.4133053571428,"2022-8-112"
"425",24.0233147142857,"2022-9-112"
"426",24.0234892142857,"2022-10-112"
"427",24.5438641428572,"2022-11-112"
"428",24.5747884285714,"2022-12-112"
"429",24.8507212142857,"2022-13-112"
"430",24.9797810714286,"2022-14-112"
"431",25.0437240714285,"2022-15-112"
"432",24.4284165,"2022-16-112"
"433",24.9083758571429,"2022-17-112"
"434",24.7159109285714,"2022-18-112"
"435",24.6571304285714,"2022-19-112"
"436",24.3624176428571,"2022-20-112"
"437",24.365421,"2022-21-112"
"438",24.1178967857143,"2022-22-112"
"439",23.7683912142857,"2022-23-112"
"440",23.6407898571428,"2022-24-112"
"441",23.8161945714286,"2022-25-112"
"442",23.6852579285714,"2022-26-112"
"443",24.1006655714286,"2022-27-112"
"444",24.0170211428572,"2022-28-112"
"445",24.1327575,"2022-29-112"
"446",23.8038969285714,"2022-30-112"
"447",23.8825965714286,"2022-31-112"
"448",24.3278365,"2022-32-112"
"449",24.4629365714286,"2022-33-112"
"450",23.8213770714286,"2022-34-112"
"451",23.8922173571429,"2022-35-112"
"452",23.9468812857143,"2022-36-112"
"453",23.7120155714286,"2022-37-112"
"454",23.6879226428571,"2022-38-112"
"455",23.605758,"2022-39-112"
"456",23.5959992857143,"2022-40-112"
"457",23.7253316428572,"2022-41-112"
"458",23.5810348571428,"2022-42-112"
"459",23.6873172857143,"2022-43-112"
"460",22.4958375,"2022-44-112"
"461",22.4780085714286,"2022-45-112"
"462",23.2161056428571,"2022-46-112"
"463",22.6759823571428,"2022-47-112"
"464",22.735108,"2022-48-112"
"465",22.2146778571428,"2022-49-112"
"466",22.6016,"2022-50-112"
"467",22.7202955,"2022-51-112"
"468",22.4329592142857,"2022-52-112"
"469",22.7163668571429,"2023-1-112"
"470",22.8626515,"2023-2-112"
"471",22.7554079285714,"2023-3-112"
"472",23.4051168571429,"2023-4-112"
"473",23.5366185,"2023-5-112"
"474",24.3068293571429,"2023-6-112"
"475",24.3388665,"2023-7-112"
"476",24.1076417142857,"2023-8-112"
"477",24.3921153571429,"2023-9-112"
"478",24.2846360714286,"2023-10-112"
"479",24.0751852857143,"2023-11-112"
"480",24.2629435714286,"2023-12-112"
"481",24.4069808571428,"2023-13-112"
"482",24.9789150714286,"2023-14-112"
"483",24.9064859285714,"2023-15-112"
"484",24.7069535714286,"2023-16-112"
"485",24.8862010714286,"2023-17-112"
"486",25.7130272142857,"2023-18-112"
"487",25.3693237142857,"2023-19-112"
"488",25.3632457857143,"2023-20-112"
"489",24.8225315714286,"2023-21-112"
"490",24.8208069285715,"2023-22-112"
"491",24.3154597142857,"2023-23-112"
"492",24.7471591428572,"2023-24-112"
"493",24.609464,"2023-25-112"
"494",24.8090434285714,"2023-26-112"
"495",24.8175604285714,"2023-27-112"
"496",25.1775680714286,"2023-28-112"
"497",25.6905059285714,"2023-29-112"
"498",25.1971500714286,"2023-30-112"
"499",25.2083497857143,"2023-31-112"
"500",25.074549,"2023-32-112"
"501",24.9107866428572,"2023-33-112"
"502",24.3436375,"2023-34-112"
"503",25.2105530714286,"2023-35-112"
"504",24.6883699285714,"2023-36-112"
"505",24.8652023571429,"2023-37-112"
"506",24.8576952857143,"2023-38-112"
"507",24.9647691428571,"2023-39-112"
"508",24.474109,"2023-40-112"
"509",24.6323710714286,"2023-41-112"
"510",24.175081,"2023-42-112"
"511",24.0164291428572,"2023-43-112"
"512",23.5967565714286,"2023-44-112"
"513",24.0275899285715,"2023-45-112"
"514",23.7998202857143,"2023-46-112"
"515",23.5521736428572,"2023-47-112"
"516",23.7270389285715,"2023-48-112"
"517",24.224015,"2023-49-112"
"518",24.4621235,"2023-50-112"
"519",24.0009796428571,"2023-51-112"
"520",23.5745455,"2023-52-112"
"521",23.4775828571429,"2024-1-112"
"522",23.7005602142857,"2024-2-112"
"523",24.068172,"2024-3-112"
"524",24.2571749285714,"2024-4-112"
"525",24.3213176428572,"2024-5-112"
"526",24.4367938571429,"2024-6-112"
"527",25.4211609285714,"2024-7-112"
"528",24.7752517142857,"2024-8-112"
"529",24.5209629285714,"2024-9-112"
"530",25.1866176428571,"2024-10-112"
"531",25.7789135714286,"2024-11-112"
"532",25.5306246428572,"2024-12-112"
"533",25.1528665714286,"2024-13-112"
