"","week","province","group","value"
"254","2020-16",7,"employment",0
"255","2020-16",7,"mobility_finance",0
"256","2020-16",7,"water",0
"257","2020-17",0,"dengue_spread",4.6
"258","2020-17",0,"employment",30
"259","2020-17",0,"mobility_finance",0
"260","2020-17",0,"water",0
"261","2020-17",1,"dengue_spread",0
"262","2020-17",1,"employment",22.86
"263","2020-17",1,"mobility_finance",0
"264","2020-17",1,"water",0
"265","2020-17",2,"dengue_spread",0
"266","2020-17",2,"employment",30.53
"267","2020-17",2,"mobility_finance",0
"268","2020-17",2,"water",0
"269","2020-17",3,"dengue_spread",0
"270","2020-17",3,"employment",0
"271","2020-17",3,"mobility_finance",0
"272","2020-17",3,"water",0
"273","2020-17",4,"dengue_spread",0
"274","2020-17",4,"employment",24.22
"275","2020-17",4,"mobility_finance",0
"276","2020-17",4,"water",0
"277","2020-17",5,"dengue_spread",0
"278","2020-17",5,"employment",0
"279","2020-17",5,"mobility_finance",0
"280","2020-17",5,"water",0
"281","2020-17",6,"dengue_spread",0
"282","2020-17",6,"employment",0
"283","2020-17",6,"mobility_finance",0
"284","2020-17",6,"water",0
"285","2020-17",7,"dengue_spread",0
"286","2020-17",7,"employment",0
"287","2020-17",7,"mobility_finance",0
"288","2020-17",7,"water",0
"289","2020-18",0,"dengue_spread",4.6
"290","2020-18",0,"employment",32.86
"291","2020-18",0,"mobility_finance",0
"292","2020-18",0,"water",0
"293","2020-18",1,"dengue_spread",10.36
"294","2020-18",1,"employment",30.86
"295","2020-18",1,"mobility_finance",0
"296","2020-18",1,"water",0
"297","2020-18",2,"dengue_spread",0
"298","2020-18",2,"employment",26.8
"299","2020-18",2,"mobility_finance",0
"300","2020-18",2,"water",0
"301","2020-18",3,"dengue_spread",0
"302","2020-18",3,"employment",0
"303","2020-18",3,"mobility_finance",0
"304","2020-18",3,"water",0
"305","2020-18",4,"dengue_spread",0
"306","2020-18",4,"employment",23.51
"307","2020-18",4,"mobility_finance",0
"308","2020-18",4,"water",0
"309","2020-18",5,"dengue_spread",0
"310","2020-18",5,"employment",0
"311","2020-18",5,"mobility_finance",0
"312","2020-18",5,"water",0
"313","2020-18",6,"dengue_spread",0
"314","2020-18",6,"employment",0
"315","2020-18",6,"mobility_finance",0
"316","2020-18",6,"water",0
"317","2020-18",7,"dengue_spread",0
"318","2020-18",7,"employment",0
"319","2020-18",7,"mobility_finance",0
"320","2020-18",7,"water",0
"321","2020-19",0,"dengue_spread",4.09
"322","2020-19",0,"employment",38.68
"323","2020-19",0,"mobility_finance",0
"324","2020-19",0,"water",0
"325","2020-19",1,"dengue_spread",0
"326","2020-19",1,"employment",33.06
"327","2020-19",1,"mobility_finance",33
"328","2020-19",1,"water",0
"329","2020-19",2,"dengue_spread",0
"330","2020-19",2,"employment",32.01
"331","2020-19",2,"mobility_finance",0
"332","2020-19",2,"water",0
"333","2020-19",3,"dengue_spread",0
"334","2020-19",3,"employment",56.92
"335","2020-19",3,"mobility_finance",0
"336","2020-19",3,"water",0
"337","2020-19",4,"dengue_spread",0
"338","2020-19",4,"employment",37.04
"339","2020-19",4,"mobility_finance",0
"340","2020-19",4,"water",0
"341","2020-19",5,"dengue_spread",0
"342","2020-19",5,"employment",0
"343","2020-19",5,"mobility_finance",0
"344","2020-19",5,"water",0
"345","2020-19",6,"dengue_spread",0
"346","2020-19",6,"employment",0
"347","2020-19",6,"mobility_finance",0
"348","2020-19",6,"water",0
"349","2020-19",7,"dengue_spread",0
"350","2020-19",7,"employment",0
"351","2020-19",7,"mobility_finance",0
"352","2020-19",7,"water",0
"353","2020-2",0,"dengue_spread",5.1
"354","2020-2",0,"employment",59.29
"355","2020-2",0,"mobility_finance",9.54
"356","2020-2",0,"water",0
"357","2020-2",1,"dengue_spread",0
"358","2020-2",1,"employment",48.57
"359","2020-2",1,"mobility_finance",0
"360","2020-2",1,"water",0
"361","2020-2",2,"dengue_spread",0
"362","2020-2",2,"employment",40.95
"363","2020-2",2,"mobility_finance",0
"364","2020-2",2,"water",0
"365","2020-2",3,"dengue_spread",0
"366","2020-2",3,"employment",63.56
"367","2020-2",3,"mobility_finance",0
"368","2020-2",3,"water",0
"369","2020-2",4,"dengue_spread",0
"370","2020-2",4,"employment",42.03
"371","2020-2",4,"mobility_finance",0
"372","2020-2",4,"water",0
"373","2020-2",5,"dengue_spread",0
"374","2020-2",5,"employment",0
"375","2020-2",5,"mobility_finance",0
"376","2020-2",5,"water",0
"377","2020-2",6,"dengue_spread",0
"378","2020-2",6,"employment",0
"379","2020-2",6,"mobility_finance",0
"380","2020-2",6,"water",0
"381","2020-2",7,"dengue_spread",0
"382","2020-2",7,"employment",57.27
"383","2020-2",7,"mobility_finance",0
"384","2020-2",7,"water",0
"385","2020-20",0,"dengue_spread",4.3
"386","2020-20",0,"employment",26.59
"387","2020-20",0,"mobility_finance",11.14
"388","2020-20",0,"water",0
"389","2020-20",1,"dengue_spread",11.53
"390","2020-20",1,"employment",16.78
"391","2020-20",1,"mobility_finance",0
"392","2020-20",1,"water",0
"393","2020-20",2,"dengue_spread",0
"394","2020-20",2,"employment",39.46
"395","2020-20",2,"mobility_finance",0
"396","2020-20",2,"water",0
"397","2020-20",3,"dengue_spread",0
"398","2020-20",3,"employment",0
"399","2020-20",3,"mobility_finance",0
"400","2020-20",3,"water",100
"401","2020-20",4,"dengue_spread",0
"402","2020-20",4,"employment",28.49
"403","2020-20",4,"mobility_finance",0
"404","2020-20",4,"water",0
"405","2020-20",5,"dengue_spread",0
"406","2020-20",5,"employment",0
"407","2020-20",5,"mobility_finance",0
"408","2020-20",5,"water",0
"409","2020-20",6,"dengue_spread",0
"410","2020-20",6,"employment",0
"411","2020-20",6,"mobility_finance",0
"412","2020-20",6,"water",0
"413","2020-20",7,"dengue_spread",0
"414","2020-20",7,"employment",0
"415","2020-20",7,"mobility_finance",0
"416","2020-20",7,"water",0
"417","2020-21",0,"dengue_spread",3.33
"418","2020-21",0,"employment",34.45
"419","2020-21",0,"mobility_finance",0
"420","2020-21",0,"water",0
"421","2020-21",1,"dengue_spread",0
"422","2020-21",1,"employment",30.6
"423","2020-21",1,"mobility_finance",0
"424","2020-21",1,"water",0
"425","2020-21",2,"dengue_spread",0
"426","2020-21",2,"employment",37.23
"427","2020-21",2,"mobility_finance",0
"428","2020-21",2,"water",0
"429","2020-21",3,"dengue_spread",0
"430","2020-21",3,"employment",58.82
"431","2020-21",3,"mobility_finance",0
"432","2020-21",3,"water",0
"433","2020-21",4,"dengue_spread",0
"434","2020-21",4,"employment",44.16
"435","2020-21",4,"mobility_finance",0
"436","2020-21",4,"water",0
"437","2020-21",5,"dengue_spread",0
"438","2020-21",5,"employment",0
"439","2020-21",5,"mobility_finance",0
"440","2020-21",5,"water",0
"441","2020-21",6,"dengue_spread",0
"442","2020-21",6,"employment",0
"443","2020-21",6,"mobility_finance",0
"444","2020-21",6,"water",0
"445","2020-21",7,"dengue_spread",0
"446","2020-21",7,"employment",0
"447","2020-21",7,"mobility_finance",0
"448","2020-21",7,"water",0
"449","2020-22",0,"dengue_spread",4.63
"450","2020-22",0,"employment",38.68
"451","2020-22",0,"mobility_finance",6.19
"452","2020-22",0,"water",0
"453","2020-22",1,"dengue_spread",12.31
"454","2020-22",1,"employment",31.58
"455","2020-22",1,"mobility_finance",0
"456","2020-22",1,"water",0
"457","2020-22",2,"dengue_spread",0
"458","2020-22",2,"employment",34.25
"459","2020-22",2,"mobility_finance",0
"460","2020-22",2,"water",0
"461","2020-22",3,"dengue_spread",0
"462","2020-22",3,"employment",0
"463","2020-22",3,"mobility_finance",0
"464","2020-22",3,"water",0
"465","2020-22",4,"dengue_spread",0
"466","2020-22",4,"employment",71.23
"467","2020-22",4,"mobility_finance",0
"468","2020-22",4,"water",0
"469","2020-22",5,"dengue_spread",0
"470","2020-22",5,"employment",87
"471","2020-22",5,"mobility_finance",0
"472","2020-22",5,"water",0
