"","keyword","value","province","week"
"314","aedes_aegypti",0,2,"2020-2"
"315","aedes_aegypti",0,2,"2020-3"
"316","aedes_aegypti",0,2,"2020-4"
"317","aedes_aegypti",0,2,"2020-5"
"318","aedes_aegypti",0,2,"2020-6"
"319","aedes_aegypti",0,2,"2020-7"
"320","aedes_aegypti",0,2,"2020-8"
"321","aedes_aegypti",0,2,"2020-9"
"322","aedes_aegypti",0,2,"2020-10"
"323","aedes_aegypti",0,2,"2020-11"
"324","aedes_aegypti",0,2,"2020-12"
"325","aedes_aegypti",0,2,"2020-13"
"326","aedes_aegypti",0,2,"2020-14"
"327","aedes_aegypti",0,2,"2020-15"
"328","aedes_aegypti",0,2,"2020-16"
"329","aedes_aegypti",0,2,"2020-17"
"330","aedes_aegypti",0,2,"2020-18"
"331","aedes_aegypti",0,2,"2020-19"
"332","aedes_aegypti",0,2,"2020-20"
"333","aedes_aegypti",0,2,"2020-21"
"334","aedes_aegypti",0,2,"2020-22"
"335","aedes_aegypti",0,2,"2020-23"
"336","aedes_aegypti",0,2,"2020-24"
"337","aedes_aegypti",0,2,"2020-25"
"338","aedes_aegypti",0,2,"2020-26"
"339","aedes_aegypti",0,2,"2020-27"
"340","aedes_aegypti",0,2,"2020-28"
"341","aedes_aegypti",0,2,"2020-29"
"342","aedes_aegypti",0,2,"2020-30"
"343","aedes_aegypti",0,2,"2020-31"
"344","aedes_aegypti",0,2,"2020-32"
"345","aedes_aegypti",0,2,"2020-33"
"346","aedes_aegypti",0,2,"2020-34"
"347","aedes_aegypti",0,2,"2020-35"
"348","aedes_aegypti",0,2,"2020-36"
"349","aedes_aegypti",0,2,"2020-37"
"350","aedes_aegypti",0,2,"2020-38"
"351","aedes_aegypti",0,2,"2020-39"
"352","aedes_aegypti",0,2,"2020-40"
"353","aedes_aegypti",0,2,"2020-41"
"354","aedes_aegypti",0,2,"2020-42"
"355","aedes_aegypti",0,2,"2020-43"
"356","aedes_aegypti",0,2,"2020-44"
"357","aedes_aegypti",0,2,"2020-45"
"358","aedes_aegypti",0,2,"2020-46"
"359","aedes_aegypti",0,2,"2020-47"
"360","aedes_aegypti",0,2,"2020-48"
"361","aedes_aegypti",0,2,"2020-49"
"362","aedes_aegypti",0,2,"2020-50"
"363","aedes_aegypti",0,2,"2020-51"
"364","aedes_aegypti",0,2,"2020-52"
"365","aedes_aegypti",0,2,"2021-1"
"366","aedes_aegypti",0,2,"2021-2"
"367","aedes_aegypti",0,2,"2021-3"
"368","aedes_aegypti",0,2,"2021-4"
"369","aedes_aegypti",0,2,"2021-5"
"370","aedes_aegypti",0,2,"2021-6"
"371","aedes_aegypti",0,2,"2021-7"
"372","aedes_aegypti",0,2,"2021-8"
"373","aedes_aegypti",0,2,"2021-9"
"374","aedes_aegypti",0,2,"2021-10"
"375","aedes_aegypti",0,2,"2021-11"
"376","aedes_aegypti",0,2,"2021-12"
"377","aedes_aegypti",0,2,"2021-13"
"378","aedes_aegypti",0,2,"2021-14"
"379","aedes_aegypti",0,2,"2021-15"
"380","aedes_aegypti",0,2,"2021-16"
"381","aedes_aegypti",0,2,"2021-17"
"382","aedes_aegypti",0,2,"2021-18"
"383","aedes_aegypti",0,2,"2021-19"
"384","aedes_aegypti",0,2,"2021-20"
